end,mem,val,accn,src
2025-09-27,IPhoneMember,49025000000.0,0000320193-25-000079|9M:0000320193-26-000020,FY-9M
2025-12-27,IPhoneMember,85269000000.0,0000320193-26-000006,3M
2026-03-28,IPhoneMember,56994000000.0,0000320193-26-000013,3M
2026-06-27,IPhoneMember,54252000000.0,0000320193-26-000020,3M
2022-06-25,MacMember,7382000000.0,0000320193-23-000077,3M
2022-09-24,MacMember,11508000000.0,0000320193-24-000123|9M:0000320193-23-000077,FY-9M
2022-12-31,MacMember,7735000000.0,0000320193-24-000006,3M
2023-04-01,MacMember,7168000000.0,0000320193-24-000069,3M
2023-07-01,MacMember,6840000000.0,0000320193-24-000081,3M
2023-09-30,MacMember,7614000000.0,0000320193-25-000079|9M:0000320193-24-000081,FY-9M
2023-12-30,MacMember,7780000000.0,0000320193-25-000008,3M
2024-03-30,MacMember,7451000000.0,0000320193-25-000057,3M
2024-06-29,MacMember,7009000000.0,0000320193-25-000073,3M
2024-09-28,MacMember,7744000000.0,0000320193-25-000079|9M:0000320193-25-000073,FY-9M
2024-12-28,MacMember,8987000000.0,0000320193-26-000006,3M
2025-03-29,MacMember,7949000000.0,0000320193-26-000013,3M
2025-06-28,MacMember,8046000000.0,0000320193-26-000020,3M
2025-09-27,MacMember,8726000000.0,0000320193-25-000079|9M:0000320193-26-000020,FY-9M
2025-12-27,MacMember,8386000000.0,0000320193-26-000006,3M
2026-03-28,MacMember,8399000000.0,0000320193-26-000013,3M
2026-06-27,MacMember,10352000000.0,0000320193-26-000020,3M
2022-06-25,ProductMember,63355000000.0,0000320193-23-000077,3M
2022-09-24,ProductMember,70958000000.0,0000320193-24-000123|9M:0000320193-23-000077,FY-9M
2022-12-31,ProductMember,96388000000.0,0000320193-24-000006,3M
2023-04-01,ProductMember,73929000000.0,0000320193-24-000069,3M
2023-07-01,ProductMember,60584000000.0,0000320193-24-000081,3M
2023-09-30,ProductMember,67184000000.0,0000320193-25-000079|9M:0000320193-24-000081,FY-9M
2023-12-30,ProductMember,96458000000.0,0000320193-25-000008,3M
2024-03-30,ProductMember,66886000000.0,0000320193-25-000057,3M
2024-06-29,ProductMember,61564000000.0,0000320193-25-000073,3M
2024-09-28,ProductMember,69958000000.0,0000320193-25-000079|9M:0000320193-25-000073,FY-9M
2024-12-28,ProductMember,97960000000.0,0000320193-26-000006,3M
2025-03-29,ProductMember,68714000000.0,0000320193-26-000013,3M
2025-06-28,ProductMember,66613000000.0,0000320193-26-000020,3M
2025-09-27,ProductMember,73716000000.0,0000320193-25-000079|9M:0000320193-26-000020,FY-9M
2025-12-27,ProductMember,113743000000.0,0000320193-26-000006,3M
