ts,symbol,bid_sz,bid_px,ask_px,ask_sz
2019-01-02 14:02:17.114696985,SPY,500,245.84,245.95,500
2019-01-02 14:02:17.125439319,GLD,500,121.38,121.44,1000
2019-01-02 14:02:17.125995468,FXB,1000,122.21,122.52,1000
2019-01-02 14:02:17.128377994,FXF,1000,94.32,94.41,1000
2019-01-02 14:02:17.150252003,GUSH,600,7.18,7.27,1400
2019-01-02 14:02:17.150287362,GUSH,400,7.18,7.27,1400
2019-01-02 14:02:17.150304923,GUSH,400,7.14,7.27,1400
2019-01-02 14:02:17.150282192,XOP,1900,25.84,25.93,2500
2019-01-02 14:02:17.151646298,GLD,500,121.39,121.44,1000
2019-01-02 14:02:17.198480193,GUSH,200,7.19,7.27,1400
2019-01-02 14:02:17.339769014,PPLT,500,74.44,74.69,1000
2019-01-02 14:02:17.340355790,PPLT,500,74.44,74.54,1000
2019-01-02 14:02:17.340402193,PPLT,500,74.44,74.69,1000
2019-01-02 14:02:17.340681539,PPLT,0,0.0,74.69,1000
2019-01-02 14:02:17.341710776,PPLT,500,74.43,74.69,1000
2019-01-02 14:02:17.371286170,EWZ,2000,38.74,0.0,0
2019-01-02 14:02:17.425289662,EEM,2100,38.55,38.58,3300
2019-01-02 14:02:17.435305932,FXC,2000,72.09,72.46,2000
2019-01-02 14:02:17.486591230,PPLT,500,74.43,74.7,1000
2019-01-02 14:02:17.487431370,PPLT,500,74.43,74.55,1000
2019-01-02 14:02:17.487468828,PPLT,500,74.43,74.7,1000
2019-01-02 14:02:17.489106623,PPLT,500,74.43,74.69,1000
2019-01-02 14:02:17.489251408,PPLT,500,74.43,74.7,1000
2019-01-02 14:02:17.489526594,PPLT,500,74.44,74.7,1000
2019-01-02 14:02:17.835114231,EUM,8800,20.62,20.68,8800
2019-01-02 14:02:18.016685416,GLD,500,121.38,121.44,1000
2019-01-02 14:02:18.032364809,GLD,500,121.38,121.43,1000
2019-01-02 14:02:18.032427054,GLD,500,121.38,121.44,1000
2019-01-02 14:02:18.033910448,GLD,500,121.39,121.44,1000
2019-01-02 14:02:18.034258058,GLD,500,121.38,121.44,1000
2019-01-02 14:02:18.035314732,GLD,500,121.39,121.44,1000
2019-01-02 14:02:18.049318638,GLD,500,121.38,121.44,1000
2019-01-02 14:02:18.072626409,YCL,500,57.9,57.97,500
2019-01-02 14:02:18.072652015,FXY,1000,87.35,87.47,1000
2019-01-02 14:02:18.135875451,YCS,1000,73.35,73.43,1000
2019-01-02 14:02:18.180766496,UNG,800,24.37,24.42,1500
2019-01-02 14:02:18.222370642,UNG,1200,24.36,24.42,1500
2019-01-02 14:02:18.242254079,SPY,500,245.87,245.95,500
2019-01-02 14:02:18.242602337,SPY,500,245.87,245.97,500
2019-01-02 14:02:18.256205245,EEM,2100,38.55,38.57,2100
2019-01-02 14:02:18.256268023,EEM,2100,38.55,38.58,3300
2019-01-02 14:02:18.257305456,USO,5000,9.44,9.45,23000
2019-01-02 14:02:18.257511172,EEM,2100,38.55,38.57,2100
2019-01-02 14:02:18.355862408,USO,23000,9.43,9.45,23000
2019-01-02 14:02:18.728624903,FXE,4000,108.56,108.77,4000
2019-01-02 14:02:18.728684066,FXE,0,0.0,108.77,4000
2019-01-02 14:02:18.729956172,FXE,4000,108.54,108.77,4000
2019-01-02 14:02:18.735783247,ULE,500,14.83,14.88,500
2019-01-02 14:02:18.841004012,FXA,1000,69.8,69.92,1000
2019-01-02 14:02:18.975136724,FXA,0,0.0,69.92,1000
2019-01-02 14:02:18.976239755,FXA,1000,69.79,69.92,1000
2019-01-02 14:02:19.063713283,EEM,2100,38.55,38.58,3300
2019-01-02 14:02:19.070894419,UNG,800,24.37,24.42,1500
2019-01-02 14:02:19.072178180,UNG,1500,24.37,24.42,1500
2019-01-02 14:02:19.112463737,FXY,1000,87.34,87.47,1000
2019-01-02 14:02:19.120197011,USO,5000,9.44,9.45,23000
2019-01-02 14:02:19.218604399,FXB,0,0.0,122.52,1000
2019-01-02 14:02:19.219702659,FXB,1000,122.18,122.52,1000
2019-01-02 14:02:19.270922082,EWZ,2000,38.74,38.77,300
2019-01-02 14:02:19.275356249,UGA,0,0.0,22.58,1400
2019-01-02 14:02:19.276719510,UGA,1400,22.46,22.58,1400
2019-01-02 14:02:19.301456820,YCL,500,57.89,57.97,500
2019-01-02 14:02:19.362401463,FXY,1000,87.35,87.47,1000
2019-01-02 14:02:19.370783256,EWZ,2000,38.74,0.0,0
2019-01-02 14:02:19.455818035,EEM,2100,38.55,38.57,2100
2019-01-02 14:02:19.514123494,GLD,500,121.39,121.44,1000
2019-01-02 14:02:19.520391301,YCL,500,57.9,57.97,500
2019-01-02 14:02:19.665461528,GLD,500,121.38,121.44,1000
2019-01-02 14:02:19.867115552,UNG,1200,24.37,24.42,1500
2019-01-02 14:02:19.871583273,USO,23000,9.43,9.45,23000
2019-01-02 14:02:20.064780774,UNG,800,24.38,24.42,1500
2019-01-02 14:02:20.065766317,UNG,1500,24.38,24.42,1500
2019-01-02 14:02:20.070746986,UNG,1500,24.39,24.42,1500
2019-01-02 14:02:20.402607057,ULE,500,14.82,14.88,500
2019-01-02 14:02:20.562426808,EWZ,2200,38.74,0.0,0
2019-01-02 14:02:20.768479596,SPY,500,245.87,245.95,500
2019-01-02 14:02:20.769260044,GLD,500,121.39,121.44,1000
2019-01-02 14:02:20.769382751,GLD,500,121.38,121.44,1000
2019-01-02 14:02:20.770365643,GLD,500,121.39,121.44,1000
2019-01-02 14:02:20.821748908,USO,18000,9.43,9.45,23000
2019-01-02 14:02:20.821964592,USO,18000,9.43,9.45,28000
2019-01-02 14:02:20.823002158,USO,18000,9.43,9.45,23000
2019-01-02 14:02:20.827826466,USO,23000,9.43,9.45,23000
2019-01-02 14:02:20.829272084,USO,18000,9.43,9.45,23000
2019-01-02 14:02:20.902307381,GLD,500,121.38,121.44,1000
2019-01-02 14:02:20.922695219,USO,18000,9.43,9.45,28000
2019-01-02 14:02:20.956086449,EWZ,2000,38.74,0.0,0
2019-01-02 14:02:21.022785971,USO,18000,9.43,9.45,33000
2019-01-02 14:02:21.037506125,USO,18000,9.43,9.44,10000
2019-01-02 14:02:21.048829661,USO,13000,9.43,9.44,10000
2019-01-02 14:02:21.050424456,USO,18000,9.43,9.44,10000
2019-01-02 14:02:21.067309839,EWZ,2000,38.75,0.0,0
2019-01-02 14:02:21.081943030,GLD,500,121.39,121.44,1000
2019-01-02 14:02:21.082106710,GLD,500,121.38,121.44,1000
2019-01-02 14:02:21.107493972,USO,13000,9.43,9.44,10000
2019-01-02 14:02:21.122748929,USO,13000,9.43,9.44,15000
2019-01-02 14:02:21.245294880,USO,13000,9.43,9.44,10000
2019-01-02 14:02:21.245321732,USO,18000,9.43,9.44,10000
2019-01-02 14:02:21.246232944,USO,18000,9.43,9.44,5000
2019-01-02 14:02:21.246277393,USO,18000,9.43,9.45,23000
2019-01-02 14:02:21.274638650,USO,18000,9.43,9.44,5000
2019-01-02 14:02:21.323025747,USO,13000,9.43,9.44,5000
2019-01-02 14:02:21.367439513,USO,18000,9.43,9.44,5000
2019-01-02 14:02:21.382794567,USO,18000,9.43,9.44,10000
2019-01-02 14:02:21.403084260,USO,13000,9.43,9.44,10000
2019-01-02 14:02:21.467961171,USO,18000,9.43,9.44,10000
2019-01-02 14:02:21.479276151,USO,13000,9.43,9.44,10000
2019-01-02 14:02:21.572785071,USO,18000,9.43,9.44,10000
2019-01-02 14:02:21.640914015,USO,13000,9.43,9.44,10000
2019-01-02 14:02:21.758930110,USO,13000,9.43,9.44,15000
2019-01-02 14:02:21.792938975,SPY,500,245.84,245.95,500
2019-01-02 14:02:21.793714181,GLD,500,121.39,121.44,1000
2019-01-02 14:02:21.796006527,SPY,500,245.82,245.95,500
2019-01-02 14:02:21.796992850,SPY,500,245.84,245.95,500
2019-01-02 14:02:21.798108941,UVXY,100,86.25,0.0,0
2019-01-02 14:02:21.798442464,TVIX,100,76.17,0.0,0
2019-01-02 14:02:21.799614178,TVIX,0,0.0,0.0,0
2019-01-02 14:02:21.898097928,UVXY,0,0.0,0.0,0
2019-01-02 14:02:21.902735279,EWZ,2000,38.74,0.0,0
2019-01-02 14:02:22.003885830,EWZ,2000,38.75,0.0,0
2019-01-02 14:02:22.012223526,EWZ,2000,38.74,0.0,0
2019-01-02 14:02:22.113453519,EWZ,2000,38.75,0.0,0
2019-01-02 14:02:22.362492311,UNG,1500,24.38,24.42,1500
2019-01-02 14:02:22.463408800,PPLT,0,0.0,74.7,1000
2019-01-02 14:02:22.463433555,PPLT,500,74.45,74.7,1000
2019-01-02 14:02:22.465123500,PPLT,500,74.45,0.0,0
2019-01-02 14:02:22.465887956,PPLT,500,74.45,74.56,1000
2019-01-02 14:02:22.465956306,PPLT,500,74.45,0.0,0
2019-01-02 14:02:22.467021034,PPLT,500,74.45,74.71,1000
2019-01-02 14:02:22.529632916,SPY,500,245.87,245.95,500
2019-01-02 14:02:22.754847267,UNG,1500,24.38,0.0,0
2019-01-02 14:02:22.755051539,UNG,1500,24.39,0.0,0
2019-01-02 14:02:22.755749053,DGAZ,0,0.0,123.02,100
2019-01-02 14:02:22.755919679,UNG,1500,24.39,24.45,1500
2019-01-02 14:02:22.755962959,UNG,1500,24.39,24.44,1500
2019-01-02 14:02:22.756656551,DGAZ,0,0.0,0.0,0
2019-01-02 14:02:22.756718949,UNG,1500,24.38,24.44,1500
2019-01-02 14:02:22.762293592,FXE,4000,108.55,108.77,4000
2019-01-02 14:02:22.833945694,USO,13000,9.43,9.44,10000
2019-01-02 14:02:22.834349868,USO,18000,9.43,9.44,10000
2019-01-02 14:02:22.868777063,UNG,1500,24.39,24.44,1500
2019-01-02 14:02:22.961730088,FXB,1000,122.18,122.53,1000
2019-01-02 14:02:23.386822864,UNG,1500,24.39,24.43,800
2019-01-02 14:02:23.386892641,UNG,1500,24.39,24.44,1500
2019-01-02 14:02:23.421054894,UNG,1500,24.39,24.45,1500
2019-01-02 14:02:23.554401924,UNG,1500,24.39,24.44,1500
2019-01-02 14:02:23.603917731,USO,13000,9.43,9.44,10000
2019-01-02 14:02:23.605797531,USO,13000,9.43,9.44,15000
2019-01-02 14:02:23.672547983,SPY,500,245.84,245.95,500
2019-01-02 14:02:23.672576780,SPY,500,245.84,245.97,500
2019-01-02 14:02:23.674113991,UVXY,100,86.3,0.0,0
2019-01-02 14:02:23.674303161,SPY,500,245.84,245.95,500
2019-01-02 14:02:23.717701176,FXC,2000,72.09,72.45,2000
2019-01-02 14:02:23.726684950,FXF,1000,94.32,94.4,1000
2019-01-02 14:02:23.735241937,ULE,500,14.82,14.89,500
2019-01-02 14:02:23.740053938,UNG,1500,24.39,24.45,1500
2019-01-02 14:02:23.774040829,UVXY,0,0.0,0.0,0
2019-01-02 14:02:23.885845683,FXE,4000,108.55,108.78,4000
2019-01-02 14:02:23.893130132,SPY,500,245.84,245.97,500
2019-01-02 14:02:23.934976711,FXB,1000,122.19,122.53,1000
2019-01-02 14:02:23.988535280,USO,8000,9.43,9.44,15000
2019-01-02 14:02:23.989652987,USO,13000,9.43,9.44,15000
2019-01-02 14:02:23.989961147,UGA,1400,22.46,22.57,1400
2019-01-02 14:02:23.990106710,USO,13000,9.43,9.44,20000
