grp,h,thr,var,n,bss2,ece,d_bss2,d_ece,wins,nyr
index,5,0.02,LOGIT,26000,0.12403558684906046,0.038082346207390615,-0.008796836667869234,0.020800349019897676,5.0,21.0
index,5,0.02,MNL,26000,0.12421676827449102,0.03770442198933318,-0.00861565524243868,0.02042242480184024,5.0,21.0
index,5,0.02,PLATT,26000,0.13135221274405084,0.014038263630802527,-0.0014802107728788538,-0.003243733556690411,9.0,21.0
index,5,0.02,ISO,26000,0.1240602090819809,0.013923357509179031,-0.0087722144349488,-0.003358639678313907,5.0,21.0
index,5,0.05,BASE,26000,0.13591536348105937,0.013490582326070585,0.0,0.0,0.0,21.0
index,5,0.05,SQ,26000,0.1295862923002863,0.013628391597238075,-0.006329071180773083,0.0001378092711674904,6.0,21.0
index,5,0.05,FE250,26000,0.1353376195066519,0.014216495200606565,-0.0005777439744074631,0.0007259128745359805,6.0,21.0
index,5,0.05,FE1000,26000,0.13570790159066493,0.013980372689394036,-0.00020746189039444474,0.0004897903633234515,6.0,21.0
index,5,0.05,SPL,26000,0.1375070019495881,0.012397574108107972,0.0015916384685287222,-0.0010930082179626127,11.0,21.0
index,5,0.05,LOGIT,26000,0.11416607699951486,0.01046690500477136,-0.021749286481544505,-0.003023677321299224,11.0,21.0
index,5,0.05,MNL,26000,,,,,,
index,5,0.05,PLATT,26000,0.11572579750243883,0.011545498019528169,-0.02018956597862054,-0.0019450843065424162,9.0,21.0
index,5,0.05,ISO,26000,0.09445143466438988,0.01206898643880357,-0.04146392881666949,-0.0014215958872670145,9.0,21.0
index,10,0.02,BASE,25975,0.09238766086752559,0.0170832019833502,0.0,0.0,0.0,21.0
index,10,0.02,SQ,25975,0.08879210561016693,0.016962321772095796,-0.0035955552573586624,-0.00012088021125440315,6.0,21.0
index,10,0.02,FE250,25975,0.09158563063430614,0.02115117777960016,-0.0008020302332194529,0.00406797579624996,7.0,21.0
index,10,0.02,FE1000,25975,0.09236291970620181,0.019285158495471615,-2.4741161323782457e-05,0.002201956512121416,8.0,21.0
index,10,0.02,SPL,25975,0.09086426077850152,0.01592280590872678,-0.001523400089024074,-0.0011603960746234196,5.0,21.0
index,10,0.02,LOGIT,25975,0.08903706833115821,0.03189624612525293,-0.0033505925363673805,0.01481304414190273,7.0,21.0
index,10,0.02,MNL,25975,0.0892731267434238,0.032204750270024306,-0.0031145341241017865,0.015121548286674107,7.0,21.0
index,10,0.02,PLATT,25975,0.08891989934542599,0.02154577633608006,-0.0034677615220995994,0.00446257435272986,9.0,21.0
index,10,0.02,ISO,25975,0.0849038988984987,0.01993868878945591,-0.007483761969026892,0.002855486806105711,8.0,21.0
index,10,0.05,BASE,25975,0.13319124153846518,0.016053207035908564,0.0,0.0,0.0,21.0
index,10,0.05,SQ,25975,0.1269401682141481,0.016536943362262756,-0.006251073324317069,0.00048373632635419217,3.0,21.0
index,10,0.05,FE250,25975,0.13407647737451367,0.01814780950275003,0.0008852358360484924,0.0020946024668414658,11.0,21.0
index,10,0.05,FE1000,25975,0.13448318963715933,0.01735822858007314,0.0012919480986941512,0.0013050215441645745,11.0,21.0
index,10,0.05,SPL,25975,0.13340892916343894,0.014882907776833858,0.00021768762497376137,-0.0011702992590747058,12.0,21.0
index,10,0.05,LOGIT,25975,0.117939139747685,0.022010076928980597,-0.015252101790780181,0.005956869893072033,8.0,21.0
index,10,0.05,MNL,25975,,,,,,
index,10,0.05,PLATT,25975,0.12172898349701511,0.014181914925245278,-0.011462258041450069,-0.001871292110663286,11.0,21.0
index,10,0.05,ISO,25975,0.1089897135580451,0.01596456666719435,-0.02420152798042008,-8.864036871421288e-05,10.0,21.0
index,21,0.02,BASE,24665,0.041890537996909116,0.026772303769005107,0.0,0.0,0.0,20.0
index,21,0.02,SQ,24665,0.040900538510848405,0.026651412876919075,-0.0009899994860607109,-0.00012089089208603201,9.0,20.0
index,21,0.02,FE250,24665,0.04045841029214747,0.03193762324933176,-0.0014321277047616432,0.005165319480326655,9.0,20.0
index,21,0.02,FE1000,24665,0.040847451997176654,0.029926258905553043,-0.0010430859997324626,0.003153955136547936,9.0,20.0
index,21,0.02,SPL,24665,0.04404303198811732,0.023318635836204377,0.002152493991208204,-0.0034536679328007296,8.0,20.0
index,21,0.02,LOGIT,24665,0.044423196035578205,0.024834045469942154,0.002532658038669089,-0.0019382582990629532,11.0,20.0
