sym,exp,dte,side,spot,n_strikes,iv_near,k_near,iv_interp,k_lo,k_hi,oi_near,vol_near,spr_near,mid_near,zero_bid_frac,oi_total,vol_total
MSFT,2026-09-18,4,P,498.75,106,0.22962196166992188,497.5,0.22498333618164063,497.5,500.0,408.0,50.0,0.40000000000000036,4.55,0.3113207547169811,245572.0,7157.0
MSFT,2026-09-21,7,C,498.75,30,0.30335169311523436,497.5,0.2970041003417968,497.5,500.0,69.0,54.0,1.6500000000000004,8.725000000000001,0.16666666666666666,873.0,279.0
MSFT,2026-09-21,7,P,498.75,26,0.2133867724609375,500.0,0.2102740106201172,497.5,500.0,14.0,75.0,1.9500000000000002,5.975,0.3076923076923077,913.0,519.0
MSFT,2026-09-23,9,C,498.75,30,0.27735097656249996,500.0,0.28156236022949216,497.5,500.0,58.0,3.0,1.0499999999999998,7.975,0.16666666666666666,479.0,199.0
MSFT,2026-09-23,9,P,498.75,24,0.2387771435546875,500.0,0.2391433508300781,497.5,500.0,6.0,1.0,2.3500000000000005,7.375,0.20833333333333334,1201.0,66.0
MSFT,2026-09-25,11,C,498.75,78,0.281684429321289,500.0,0.2896952134704589,497.5,500.0,528.0,236.0,0.45000000000000107,9.325,0.08974358974358974,45092.0,2623.0
MSFT,2026-09-25,11,P,498.75,71,0.22339643798828124,497.5,0.22101609069824218,497.5,500.0,186.0,16.0,0.5499999999999998,7.175000000000001,0.23943661971830985,16248.0,2312.0
MSFT,2026-10-02,18,C,498.75,51,0.282233740234375,500.0,0.2804942556762695,495.0,500.0,600.0,82.0,0.7999999999999989,11.8,0.09803921568627451,60718.0,1336.0
MSFT,2026-10-02,18,P,498.75,59,0.22113815979003904,500.0,0.2228318684387207,495.0,500.0,297.0,7.0,0.75,10.325,0.23728813559322035,8344.0,744.0
MSFT,2026-10-09,25,C,498.75,47,0.28269149932861326,500.0,0.28772684936523435,495.0,500.0,284.0,51.0,0.5500000000000007,14.125,0.06382978723404255,8505.0,905.0
MSFT,2026-10-09,25,P,498.75,53,0.22486126708984372,500.0,0.2261811391448974,495.0,500.0,154.0,15.0,0.9499999999999993,12.125,0.20754716981132076,3837.0,381.0
NVDA,2026-09-14,0,C,210.5399932861328,60,0.21973436523437498,210.0,0.22216009206691384,210.0,212.5,1099.0,40953.0,0.020000000000000018,1.26,0.4,107350.0,214061.0
NVDA,2026-09-14,0,P,210.5399932861328,44,0.2475661181640625,210.0,0.2556870297338664,210.0,212.5,6161.0,58925.0,0.010000000000000009,0.825,0.36363636363636365,74463.0,214572.0
NVDA,2026-09-16,2,C,210.5399932861328,50,0.348639326171875,210.0,0.3477428619076759,210.0,212.5,273.0,5400.0,0.020000000000000018,2.92,0.32,56729.0,43088.0
NVDA,2026-09-16,2,P,210.5399932861328,37,0.3459538061523437,210.0,0.3462174721124023,210.0,212.5,4020.0,6522.0,0.020000000000000018,2.3600000000000003,0.21621621621621623,38644.0,39125.0
