accn,filing,start,end,val,ndim,member,days
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2022-09-25,2023-07-01,21743000000.0,1,ProductOrServiceAxis=MacMember,279
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2024-03-31,2024-06-29,7162000000.0,1,ProductOrServiceAxis=IPadMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-04-02,2023-07-01,5791000000.0,1,ProductOrServiceAxis=IPadMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-10-01,2024-06-29,19744000000.0,1,ProductOrServiceAxis=IPadMember,272
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2022-09-25,2023-07-01,21857000000.0,1,ProductOrServiceAxis=IPadMember,279
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2024-03-31,2024-06-29,8097000000.0,1,ProductOrServiceAxis=WearablesHomeandAccessoriesMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-04-02,2023-07-01,8284000000.0,1,ProductOrServiceAxis=WearablesHomeandAccessoriesMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-10-01,2024-06-29,27963000000.0,1,ProductOrServiceAxis=WearablesHomeandAccessoriesMember,272
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2022-09-25,2023-07-01,30523000000.0,1,ProductOrServiceAxis=WearablesHomeandAccessoriesMember,279
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2024-03-31,2024-06-29,37678000000.0,1,StatementBusinessSegmentsAxis=AmericasSegmentMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-04-02,2023-07-01,35383000000.0,1,StatementBusinessSegmentsAxis=AmericasSegmentMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-10-01,2024-06-29,125381000000.0,1,StatementBusinessSegmentsAxis=AmericasSegmentMember,272
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2022-09-25,2023-07-01,122445000000.0,1,StatementBusinessSegmentsAxis=AmericasSegmentMember,279
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2024-03-31,2024-06-29,21884000000.0,1,StatementBusinessSegmentsAxis=EuropeSegmentMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-04-02,2023-07-01,20205000000.0,1,StatementBusinessSegmentsAxis=EuropeSegmentMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-10-01,2024-06-29,76404000000.0,1,StatementBusinessSegmentsAxis=EuropeSegmentMember,272
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2022-09-25,2023-07-01,71831000000.0,1,StatementBusinessSegmentsAxis=EuropeSegmentMember,279
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2024-03-31,2024-06-29,14728000000.0,1,StatementBusinessSegmentsAxis=GreaterChinaSegmentMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-04-02,2023-07-01,15758000000.0,1,StatementBusinessSegmentsAxis=GreaterChinaSegmentMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-10-01,2024-06-29,51919000000.0,1,StatementBusinessSegmentsAxis=GreaterChinaSegmentMember,272
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2022-09-25,2023-07-01,57475000000.0,1,StatementBusinessSegmentsAxis=GreaterChinaSegmentMember,279
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2024-03-31,2024-06-29,5097000000.0,1,StatementBusinessSegmentsAxis=JapanSegmentMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-04-02,2023-07-01,4821000000.0,1,StatementBusinessSegmentsAxis=JapanSegmentMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-10-01,2024-06-29,19126000000.0,1,StatementBusinessSegmentsAxis=JapanSegmentMember,272
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2022-09-25,2023-07-01,18752000000.0,1,StatementBusinessSegmentsAxis=JapanSegmentMember,279
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2024-03-31,2024-06-29,6390000000.0,1,StatementBusinessSegmentsAxis=RestOfAsiaPacificSegmentMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-04-02,2023-07-01,5630000000.0,1,StatementBusinessSegmentsAxis=RestOfAsiaPacificSegmentMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-10-01,2024-06-29,23275000000.0,1,StatementBusinessSegmentsAxis=RestOfAsiaPacificSegmentMember,272
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2022-09-25,2023-07-01,23284000000.0,1,StatementBusinessSegmentsAxis=RestOfAsiaPacificSegmentMember,279
0000320193-24-000123,10-K FY2024,2023-10-01,2024-09-28,294866000000.0,1,ProductOrServiceAxis=ProductMember,363
0000320193-24-000123,10-K FY2024,2022-09-25,2023-09-30,298085000000.0,1,ProductOrServiceAxis=ProductMember,370
0000320193-24-000123,10-K FY2024,2021-09-26,2022-09-24,316199000000.0,1,ProductOrServiceAxis=ProductMember,363
0000320193-24-000123,10-K FY2024,2023-10-01,2024-09-28,96169000000.0,1,ProductOrServiceAxis=ServiceMember,363
0000320193-24-000123,10-K FY2024,2022-09-25,2023-09-30,85200000000.0,1,ProductOrServiceAxis=ServiceMember,370
0000320193-24-000123,10-K FY2024,2021-09-26,2022-09-24,78129000000.0,1,ProductOrServiceAxis=ServiceMember,363
0000320193-24-000123,10-K FY2024,2023-10-01,2024-09-28,391035000000.0,0,,363
0000320193-24-000123,10-K FY2024,2022-09-25,2023-09-30,383285000000.0,0,,370
0000320193-24-000123,10-K FY2024,2021-09-26,2022-09-24,394328000000.0,0,,363
0000320193-24-000123,10-K FY2024,2023-10-01,2024-09-28,201183000000.0,1,ProductOrServiceAxis=IPhoneMember,363
0000320193-24-000123,10-K FY2024,2022-09-25,2023-09-30,200583000000.0,1,ProductOrServiceAxis=IPhoneMember,370
0000320193-24-000123,10-K FY2024,2021-09-26,2022-09-24,205489000000.0,1,ProductOrServiceAxis=IPhoneMember,363
0000320193-24-000123,10-K FY2024,2023-10-01,2024-09-28,29984000000.0,1,ProductOrServiceAxis=MacMember,363
0000320193-24-000123,10-K FY2024,2022-09-25,2023-09-30,29357000000.0,1,ProductOrServiceAxis=MacMember,370
0000320193-24-000123,10-K FY2024,2021-09-26,2022-09-24,40177000000.0,1,ProductOrServiceAxis=MacMember,363
0000320193-24-000123,10-K FY2024,2023-10-01,2024-09-28,26694000000.0,1,ProductOrServiceAxis=IPadMember,363
0000320193-24-000123,10-K FY2024,2022-09-25,2023-09-30,28300000000.0,1,ProductOrServiceAxis=IPadMember,370
0000320193-24-000123,10-K FY2024,2021-09-26,2022-09-24,29292000000.0,1,ProductOrServiceAxis=IPadMember,363
0000320193-24-000123,10-K FY2024,2023-10-01,2024-09-28,37005000000.0,1,ProductOrServiceAxis=WearablesHomeandAccessoriesMember,363
0000320193-24-000123,10-K FY2024,2022-09-25,2023-09-30,39845000000.0,1,ProductOrServiceAxis=WearablesHomeandAccessoriesMember,370
0000320193-24-000123,10-K FY2024,2021-09-26,2022-09-24,41241000000.0,1,ProductOrServiceAxis=WearablesHomeandAccessoriesMember,363
0000320193-24-000123,10-K FY2024,2023-10-01,2024-09-28,167045000000.0,1,StatementBusinessSegmentsAxis=AmericasSegmentMember,363
0000320193-24-000123,10-K FY2024,2022-09-25,2023-09-30,162560000000.0,1,StatementBusinessSegmentsAxis=AmericasSegmentMember,370
0000320193-24-000123,10-K FY2024,2021-09-26,2022-09-24,169658000000.0,1,StatementBusinessSegmentsAxis=AmericasSegmentMember,363
0000320193-24-000123,10-K FY2024,2023-10-01,2024-09-28,101328000000.0,1,StatementBusinessSegmentsAxis=EuropeSegmentMember,363
0000320193-24-000123,10-K FY2024,2022-09-25,2023-09-30,94294000000.0,1,StatementBusinessSegmentsAxis=EuropeSegmentMember,370
0000320193-24-000123,10-K FY2024,2021-09-26,2022-09-24,95118000000.0,1,StatementBusinessSegmentsAxis=EuropeSegmentMember,363
0000320193-24-000123,10-K FY2024,2023-10-01,2024-09-28,66952000000.0,1,StatementBusinessSegmentsAxis=GreaterChinaSegmentMember,363
0000320193-24-000123,10-K FY2024,2022-09-25,2023-09-30,72559000000.0,1,StatementBusinessSegmentsAxis=GreaterChinaSegmentMember,370
0000320193-24-000123,10-K FY2024,2021-09-26,2022-09-24,74200000000.0,1,StatementBusinessSegmentsAxis=GreaterChinaSegmentMember,363
0000320193-24-000123,10-K FY2024,2023-10-01,2024-09-28,25052000000.0,1,StatementBusinessSegmentsAxis=JapanSegmentMember,363
0000320193-24-000123,10-K FY2024,2022-09-25,2023-09-30,24257000000.0,1,StatementBusinessSegmentsAxis=JapanSegmentMember,370
0000320193-24-000123,10-K FY2024,2021-09-26,2022-09-24,25977000000.0,1,StatementBusinessSegmentsAxis=JapanSegmentMember,363
0000320193-24-000123,10-K FY2024,2023-10-01,2024-09-28,30658000000.0,1,StatementBusinessSegmentsAxis=RestOfAsiaPacificSegmentMember,363
0000320193-24-000123,10-K FY2024,2022-09-25,2023-09-30,29615000000.0,1,StatementBusinessSegmentsAxis=RestOfAsiaPacificSegmentMember,370
0000320193-24-000123,10-K FY2024,2021-09-26,2022-09-24,29375000000.0,1,StatementBusinessSegmentsAxis=RestOfAsiaPacificSegmentMember,363
0000320193-24-000123,10-K FY2024,2023-10-01,2024-09-28,142196000000.0,1,StatementGeographicalAxis=US,363
0000320193-24-000123,10-K FY2024,2022-09-25,2023-09-30,138573000000.0,1,StatementGeographicalAxis=US,370
0000320193-24-000123,10-K FY2024,2021-09-26,2022-09-24,147859000000.0,1,StatementGeographicalAxis=US,363
0000320193-24-000123,10-K FY2024,2023-10-01,2024-09-28,66952000000.0,1,StatementGeographicalAxis=CN,363
0000320193-24-000123,10-K FY2024,2022-09-25,2023-09-30,72559000000.0,1,StatementGeographicalAxis=CN,370
0000320193-24-000123,10-K FY2024,2021-09-26,2022-09-24,74200000000.0,1,StatementGeographicalAxis=CN,363
0000320193-24-000123,10-K FY2024,2023-10-01,2024-09-28,181887000000.0,1,StatementGeographicalAxis=OtherCountriesMember,363
0000320193-24-000123,10-K FY2024,2022-09-25,2023-09-30,172153000000.0,1,StatementGeographicalAxis=OtherCountriesMember,370
0000320193-24-000123,10-K FY2024,2021-09-26,2022-09-24,172269000000.0,1,StatementGeographicalAxis=OtherCountriesMember,363
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2024-09-29,2024-12-28,97960000000.0,1,ProductOrServiceAxis=ProductMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2023-10-01,2023-12-30,96458000000.0,1,ProductOrServiceAxis=ProductMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2024-09-29,2024-12-28,26340000000.0,1,ProductOrServiceAxis=ServiceMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2023-10-01,2023-12-30,23117000000.0,1,ProductOrServiceAxis=ServiceMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2024-09-29,2024-12-28,124300000000.0,0,,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2023-10-01,2023-12-30,119575000000.0,0,,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2024-09-29,2024-12-28,69138000000.0,1,ProductOrServiceAxis=IPhoneMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2023-10-01,2023-12-30,69702000000.0,1,ProductOrServiceAxis=IPhoneMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2024-09-29,2024-12-28,8987000000.0,1,ProductOrServiceAxis=MacMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2023-10-01,2023-12-30,7780000000.0,1,ProductOrServiceAxis=MacMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2024-09-29,2024-12-28,8088000000.0,1,ProductOrServiceAxis=IPadMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2023-10-01,2023-12-30,7023000000.0,1,ProductOrServiceAxis=IPadMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2024-09-29,2024-12-28,11747000000.0,1,ProductOrServiceAxis=WearablesHomeandAccessoriesMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2023-10-01,2023-12-30,11953000000.0,1,ProductOrServiceAxis=WearablesHomeandAccessoriesMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2024-09-29,2024-12-28,52648000000.0,1,StatementBusinessSegmentsAxis=AmericasSegmentMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2023-10-01,2023-12-30,50430000000.0,1,StatementBusinessSegmentsAxis=AmericasSegmentMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2024-09-29,2024-12-28,33861000000.0,1,StatementBusinessSegmentsAxis=EuropeSegmentMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2023-10-01,2023-12-30,30397000000.0,1,StatementBusinessSegmentsAxis=EuropeSegmentMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2024-09-29,2024-12-28,18513000000.0,1,StatementBusinessSegmentsAxis=GreaterChinaSegmentMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2023-10-01,2023-12-30,20819000000.0,1,StatementBusinessSegmentsAxis=GreaterChinaSegmentMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2024-09-29,2024-12-28,8987000000.0,1,StatementBusinessSegmentsAxis=JapanSegmentMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2023-10-01,2023-12-30,7767000000.0,1,StatementBusinessSegmentsAxis=JapanSegmentMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2024-09-29,2024-12-28,10291000000.0,1,StatementBusinessSegmentsAxis=RestOfAsiaPacificSegmentMember,90
0000320193-25-000008,10-Q Q1FY25 (end 2024-12-28),2023-10-01,2023-12-30,10162000000.0,1,StatementBusinessSegmentsAxis=RestOfAsiaPacificSegmentMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-12-29,2025-03-29,68714000000.0,1,ProductOrServiceAxis=ProductMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-12-31,2024-03-30,66886000000.0,1,ProductOrServiceAxis=ProductMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-09-29,2025-03-29,166674000000.0,1,ProductOrServiceAxis=ProductMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-10-01,2024-03-30,163344000000.0,1,ProductOrServiceAxis=ProductMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-12-29,2025-03-29,26645000000.0,1,ProductOrServiceAxis=ServiceMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-12-31,2024-03-30,23867000000.0,1,ProductOrServiceAxis=ServiceMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-09-29,2025-03-29,52985000000.0,1,ProductOrServiceAxis=ServiceMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-10-01,2024-03-30,46984000000.0,1,ProductOrServiceAxis=ServiceMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-12-29,2025-03-29,95359000000.0,0,,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-12-31,2024-03-30,90753000000.0,0,,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-09-29,2025-03-29,219659000000.0,0,,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-10-01,2024-03-30,210328000000.0,0,,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-12-29,2025-03-29,46841000000.0,1,ProductOrServiceAxis=IPhoneMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-12-31,2024-03-30,45963000000.0,1,ProductOrServiceAxis=IPhoneMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-09-29,2025-03-29,115979000000.0,1,ProductOrServiceAxis=IPhoneMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-10-01,2024-03-30,115665000000.0,1,ProductOrServiceAxis=IPhoneMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-12-29,2025-03-29,7949000000.0,1,ProductOrServiceAxis=MacMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-12-31,2024-03-30,7451000000.0,1,ProductOrServiceAxis=MacMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-09-29,2025-03-29,16936000000.0,1,ProductOrServiceAxis=MacMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-10-01,2024-03-30,15231000000.0,1,ProductOrServiceAxis=MacMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-12-29,2025-03-29,6402000000.0,1,ProductOrServiceAxis=IPadMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-12-31,2024-03-30,5559000000.0,1,ProductOrServiceAxis=IPadMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-09-29,2025-03-29,14490000000.0,1,ProductOrServiceAxis=IPadMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-10-01,2024-03-30,12582000000.0,1,ProductOrServiceAxis=IPadMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-12-29,2025-03-29,7522000000.0,1,ProductOrServiceAxis=WearablesHomeandAccessoriesMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-12-31,2024-03-30,7913000000.0,1,ProductOrServiceAxis=WearablesHomeandAccessoriesMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-09-29,2025-03-29,19269000000.0,1,ProductOrServiceAxis=WearablesHomeandAccessoriesMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-10-01,2024-03-30,19866000000.0,1,ProductOrServiceAxis=WearablesHomeandAccessoriesMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-12-29,2025-03-29,40315000000.0,1,StatementBusinessSegmentsAxis=AmericasSegmentMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-12-31,2024-03-30,37273000000.0,1,StatementBusinessSegmentsAxis=AmericasSegmentMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-09-29,2025-03-29,92963000000.0,1,StatementBusinessSegmentsAxis=AmericasSegmentMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-10-01,2024-03-30,87703000000.0,1,StatementBusinessSegmentsAxis=AmericasSegmentMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-12-29,2025-03-29,24454000000.0,1,StatementBusinessSegmentsAxis=EuropeSegmentMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-12-31,2024-03-30,24123000000.0,1,StatementBusinessSegmentsAxis=EuropeSegmentMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-09-29,2025-03-29,58315000000.0,1,StatementBusinessSegmentsAxis=EuropeSegmentMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-10-01,2024-03-30,54520000000.0,1,StatementBusinessSegmentsAxis=EuropeSegmentMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-12-29,2025-03-29,16002000000.0,1,StatementBusinessSegmentsAxis=GreaterChinaSegmentMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-12-31,2024-03-30,16372000000.0,1,StatementBusinessSegmentsAxis=GreaterChinaSegmentMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-09-29,2025-03-29,34515000000.0,1,StatementBusinessSegmentsAxis=GreaterChinaSegmentMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-10-01,2024-03-30,37191000000.0,1,StatementBusinessSegmentsAxis=GreaterChinaSegmentMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-12-29,2025-03-29,7298000000.0,1,StatementBusinessSegmentsAxis=JapanSegmentMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-12-31,2024-03-30,6262000000.0,1,StatementBusinessSegmentsAxis=JapanSegmentMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-09-29,2025-03-29,16285000000.0,1,StatementBusinessSegmentsAxis=JapanSegmentMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-10-01,2024-03-30,14029000000.0,1,StatementBusinessSegmentsAxis=JapanSegmentMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-12-29,2025-03-29,7290000000.0,1,StatementBusinessSegmentsAxis=RestOfAsiaPacificSegmentMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-12-31,2024-03-30,6723000000.0,1,StatementBusinessSegmentsAxis=RestOfAsiaPacificSegmentMember,90
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2024-09-29,2025-03-29,17581000000.0,1,StatementBusinessSegmentsAxis=RestOfAsiaPacificSegmentMember,181
0000320193-25-000057,10-Q Q2FY25 (end 2025-03-29),2023-10-01,2024-03-30,16885000000.0,1,StatementBusinessSegmentsAxis=RestOfAsiaPacificSegmentMember,181
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2025-03-30,2025-06-28,66613000000.0,1,ProductOrServiceAxis=ProductMember,90
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2024-09-29,2025-06-28,233287000000.0,1,ProductOrServiceAxis=ProductMember,272
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2025-03-30,2025-06-28,27423000000.0,1,ProductOrServiceAxis=ServiceMember,90
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2024-09-29,2025-06-28,80408000000.0,1,ProductOrServiceAxis=ServiceMember,272
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2025-03-30,2025-06-28,94036000000.0,0,,90
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2024-09-29,2025-06-28,313695000000.0,0,,272
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2025-03-30,2025-06-28,44582000000.0,1,ProductOrServiceAxis=IPhoneMember,90
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2024-09-29,2025-06-28,160561000000.0,1,ProductOrServiceAxis=IPhoneMember,272
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2025-03-30,2025-06-28,8046000000.0,1,ProductOrServiceAxis=MacMember,90
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2024-09-29,2025-06-28,24982000000.0,1,ProductOrServiceAxis=MacMember,272
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2025-03-30,2025-06-28,6581000000.0,1,ProductOrServiceAxis=IPadMember,90
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2024-09-29,2025-06-28,21071000000.0,1,ProductOrServiceAxis=IPadMember,272
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2025-03-30,2025-06-28,7404000000.0,1,ProductOrServiceAxis=WearablesHomeandAccessoriesMember,90
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2024-09-29,2025-06-28,26673000000.0,1,ProductOrServiceAxis=WearablesHomeandAccessoriesMember,272
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2025-03-30,2025-06-28,41198000000.0,1,StatementBusinessSegmentsAxis=AmericasSegmentMember,90
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2024-09-29,2025-06-28,134161000000.0,1,StatementBusinessSegmentsAxis=AmericasSegmentMember,272
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2025-03-30,2025-06-28,24014000000.0,1,StatementBusinessSegmentsAxis=EuropeSegmentMember,90
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2024-09-29,2025-06-28,82329000000.0,1,StatementBusinessSegmentsAxis=EuropeSegmentMember,272
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2025-03-30,2025-06-28,15369000000.0,1,StatementBusinessSegmentsAxis=GreaterChinaSegmentMember,90
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2024-09-29,2025-06-28,49884000000.0,1,StatementBusinessSegmentsAxis=GreaterChinaSegmentMember,272
0000320193-25-000073,10-Q Q3FY25 (end 2025-06-28),2025-03-30,2025-06-28,5782000000.0,1,StatementBusinessSegmentsAxis=JapanSegmentMember,90
