d,end,avail,ttm_ni,ttm_rev,sh,eps,eps_norm,raw,adj,pe,pe_norm,pe_divadj,ps,ps_divadj
2014-10-23,2014-06-28,2014-07-23,38555000000.0,178144000000.0,25040205000.0,1.5397238161588533,1.5397238161588533,26.207500457763672,23.0767879486084,17.02090997276608,17.02090997276608,14.987615120598722,3.683768097718678,3.2437101500734444
2014-10-24,2014-06-28,2014-07-23,38555000000.0,178144000000.0,25040205000.0,1.5397238161588533,1.5397238161588533,26.30500030517578,23.162639617919922,17.084232918341698,17.084232918341698,15.043372957433187,3.6974728319037635,3.2557775977514627
2014-10-27,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,26.27750015258789,23.138429641723633,16.388510002403287,16.388510002403287,14.43076333065675,3.5422742974094144,3.119119555755071
2014-10-28,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,26.684999465942383,23.497243881225586,16.6426554322997,16.6426554322997,14.654545300742795,3.5972062481477134,3.1674886338923267
2014-10-29,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,26.834999084472656,23.629329681396484,16.73620581701535,16.73620581701535,14.736923359717444,3.6174265807613804,3.1852941379273845
2014-10-30,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,26.7450008392334,23.55008316040039,16.680076537832107,16.680076537832107,14.687499617182626,3.6052945868855635,3.1746115040065948
2014-10-31,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.0,23.774608612060547,16.839112072892938,16.839112072892938,14.82752958917234,3.6396691266172487,3.204878109730568
2014-11-03,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.350000381469727,24.08280372619629,17.05739709693457,17.05739709693457,15.01974188795937,3.6868500741261236,3.2464236001710916
2014-11-04,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.149999618530273,23.90669822692871,16.932662457608586,16.932662457608586,14.90991002726235,3.6598894592309157,3.2226841279965837
2014-11-05,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.21500015258789,23.96392250061035,16.97320139382318,16.97320139382318,14.945599136811056,3.66865169763918,3.230398106597034
2014-11-06,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.174999237060547,24.032468795776367,16.948253990134912,16.948253990134912,14.988349460754838,3.663259471813947,3.239638322680728
2014-11-07,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.252500534057617,24.101001739501953,16.996589287391515,16.996589287391515,15.031091457794853,3.6737068450714667,3.248876738956069
2014-11-10,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.207500457763672,24.06121253967285,16.968524053021053,16.968524053021053,15.006276095009188,3.667640719575819,3.243513052949003
2014-11-11,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.424999237060547,24.253562927246094,17.10417169451355,17.10417169451355,15.126239418476233,3.696960111875218,3.2694423776580104
2014-11-12,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.8125,24.596248626708984,17.345844612123514,17.345844612123514,15.3399624888108,3.749196206816379,3.3156372873049853
2014-11-13,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.204999923706055,24.9433536529541,17.590635360415668,17.590635360415668,15.556441764292503,3.8021062014279554,3.3624279335167633
2014-11-14,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.545000076293945,25.24403953552246,17.80268353353523,17.80268353353523,15.743970774488997,3.8479390924805217,3.402961160316531
2014-11-17,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.497499465942383,25.2020320892334,17.773058789044832,17.773058789044832,15.717771956120199,3.8415358885919266,3.397298449007408
2014-11-18,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.86750030517578,25.529245376586914,18.003817514930596,18.003817514930596,15.92184533454559,3.8914129490134184,3.4414076378888714
2014-11-19,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.667499542236328,25.35237693786621,17.879082875604613,17.879082875604613,15.811537650776126,3.86445233411821,3.41756531952277
2014-11-20,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,29.077499389648438,25.714963912963867,18.134787815620964,18.134787815620964,16.03767256595541,3.9197213632494563,3.4664429720774548
2014-11-21,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,29.11750030517578,25.75033950805664,18.159735219309233,18.159735219309233,16.059735292266986,3.9251135890746895,3.471211692866153
2014-11-24,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,29.657499313354492,26.22789764404297,18.4965168421971,18.4965168421971,16.357574365348302,3.9979068379069855,3.5355877522629804
2014-11-25,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,29.399999618530273,26.00016975402832,18.33592179701633,18.33592179701633,16.215547126012005,3.963195219782353,3.5048894496497947
2014-11-26,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,29.75,26.309690475463867,18.55420682105796,18.55420682105796,16.408586167387405,4.010376167291228,3.546613635348212
2014-11-28,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,29.732500076293945,26.294218063354492,18.543292629333763,18.543292629333763,16.39893647547823,4.008017132771558,3.5445279145827016
2014-12-01,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.767499923706055,25.44080924987793,17.941450195267603,17.941450195267603,15.866690303103177,3.8779326415658146,3.429486221590342
2014-12-02,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.657499313354492,25.343530654907227,17.872846024682545,17.872846024682545,15.806020482251132,3.8631042776619022,3.4163728179312463
2014-12-03,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.982500076293945,25.63095474243164,18.075539516197846,18.075539516197846,15.985278497890857,3.9069152125877453,3.455118320805644
2014-12-04,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.872499465942383,25.533668518066406,18.00693534561279,18.00693534561279,15.924603918808087,3.892086848683833,3.442003888684633
2014-12-05,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.75,25.42533302307129,17.930536003543406,17.930536003543406,15.857038232078638,3.8755736070461446,3.427399986593873
2014-12-08,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.100000381469727,24.850502014160156,17.525150210070482,17.525150210070482,15.498532906818317,3.7879519943099362,3.349911294884388
2014-12-09,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.530000686645508,25.23077964782715,17.79332885193097,17.79332885193097,15.73570096948991,3.8459171363537985,3.4011736935066406
2014-12-10,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.987499237060547,24.751008987426758,17.45498652936549,17.45498652936549,15.436482009498501,3.7727865520130774,3.3364993801541933
2014-12-11,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.905000686645508,24.67804718017578,17.403534590984375,17.403534590984375,15.390977859522945,3.7616655362006215,3.3266639417366535
2014-12-12,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.4325008392334,24.260194778442383,17.10885022487336,17.10885022487336,15.130375510533458,3.6979713470540583,3.2703363681784343
2014-12-15,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.0575008392334,23.928556442260742,16.874973668305405,16.874973668305405,14.923542358287888,3.647420386962152,3.22563067138573
2014-12-16,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,26.6875,23.601348876953125,16.64421494241964,16.64421494241964,14.719472548535538,3.5975433265406602,3.1815222538507024
2014-12-17,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.352500915527344,24.189441680908203,17.058956607054505,17.058956607054505,15.086248868352628,3.6871871525190705,3.2607986694855566
2014-12-18,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.162500381469727,24.905771255493164,17.56412963616514,17.56412963616514,15.533002719743884,3.7963771543252536,3.357361730118881
2014-12-19,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.94499969482422,24.71343231201172,17.428480805114962,17.428480805114962,15.413046533622925,3.767057504910376,3.331433948102748
2014-12-22,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.235000610351562,24.96988868713379,17.60934591318187,17.60934591318187,15.572990890752125,3.80615037079688,3.366004924060376
2014-12-23,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.135000228881836,24.881450653076172,17.546978593518876,17.546978593518876,15.51783466975203,3.792670063349276,3.354083250646368
2014-12-24,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.002500534057617,24.76427459716797,17.46434240052743,17.46434240052743,15.444755383170632,3.7748087652552793,3.338287618310521
2014-12-26,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.497499465942383,25.2020320892334,17.773058789044832,17.773058789044832,15.717771956120199,3.8415358885919266,3.397298449007408
2014-12-29,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.477500915527344,25.184345245361328,17.760586276758378,17.760586276758378,15.706741187743251,3.8388400327947894,3.394914217170797
2014-12-30,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.1299991607666,24.877023696899414,17.543859573279004,17.543859573279004,15.51507370637417,3.791995906563382,3.353486485619648
2014-12-31,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.594999313354492,24.40390396118164,17.21019578107333,17.21019578107333,15.220002734016798,3.719876557401501,3.2897087339424145
2015-01-02,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.332500457763672,24.17176055908203,17.04648290521037,17.04648290521037,15.075221668648725,3.6844910396064545,3.2584152089953835
2015-01-05,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,26.5625,23.490795135498047,16.566256090230322,16.566256090230322,14.650523406222957,3.580693006510025,3.1666193264578855
2015-01-06,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,26.565000534057617,23.493009567260742,16.567815600350258,16.567815600350258,14.651904482690728,3.581030084902972,3.1669178375289846
2015-01-07,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,26.9375,23.82243537902832,16.80013264679828,16.80013264679828,14.857357748026208,3.631243966601931,3.2113252803660686
2015-01-08,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.97249984741211,24.737747192382812,17.445631847761227,17.445631847761227,15.428211014941734,3.7707645958863543,3.334711656228824
2015-01-09,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.002500534057617,24.76427459716797,17.46434240052743,17.46434240052743,15.444755383170632,3.7748087652552793,3.338287618310521
2015-01-12,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.3125,24.154071807861328,17.034009203366235,17.034009203366235,15.064189710714098,3.6817949266938372,3.2560307200432943
2015-01-13,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.55500030517578,24.368528366088867,17.185249566942744,17.185249566942744,15.197940007705224,3.7144845886917466,3.2849400131537156
2015-01-14,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.450000762939453,24.27566909790039,17.119764416597558,17.119764416597558,15.140026392000314,3.7003303815737274,3.272422346059424
2015-01-15,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,26.704999923706055,23.616825103759766,16.655129134143838,16.655129134143838,14.729124619560077,3.5999023610603302,3.1836084888471707
2015-01-16,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,26.497499465942383,23.43331527709961,16.525717154015723,16.525717154015723,14.614674895944983,3.57193076810176,3.158870894383251
2015-01-20,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.18000030517578,24.036897659301758,16.951373010374787,16.951373010374787,14.991111613690379,3.6639336285998403,3.2402353448229264
2015-01-21,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.387500762939453,24.22039031982422,17.0807849905029,17.0807849905029,15.105550631286343,3.69190522155841,3.2649706252475363
