contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL270115C00290000,2026-09-14 19:56:00+00:00,290.0,53.28,52.1,54.1,1.1299973,2.1668212,57,10784,0.3784852191162109,True,REGULAR,USD
AAPL270115C00295000,2026-09-14 18:10:41+00:00,295.0,49.3,48.0,50.2,0.3999977,0.8179912,11,8056,0.3707338317871094,True,REGULAR,USD
AAPL270115C00300000,2026-09-14 19:57:02+00:00,300.0,45.0,44.4,45.55,1.0,2.2727273,248,65418,0.34989053436279294,True,REGULAR,USD
AAPL270115C00305000,2026-09-14 19:32:12+00:00,305.0,41.7,40.15,41.8,0.9300003,2.2810898,46,5145,0.3420170779418945,True,REGULAR,USD
AAPL270115C00310000,2026-09-14 19:49:31+00:00,310.0,38.32,36.35,38.0,1.3499985,3.6516051,167,27920,0.3318243087768554,True,REGULAR,USD
AAPL270115C00315000,2026-09-14 19:14:05+00:00,315.0,35.35,32.75,34.7,1.829998,5.459421,28,13988,0.32712464874267577,True,REGULAR,USD
AAPL270115C00320000,2026-09-14 19:47:02+00:00,320.0,31.0,30.05,31.5,0.87000084,2.8874905,113,36962,0.3218451605224609,True,REGULAR,USD
AAPL270115C00325000,2026-09-14 19:20:57+00:00,325.0,28.6,26.75,28.3,1.6000004,5.925927,124,8660,0.31464308410644526,True,REGULAR,USD
AAPL270115C00330000,2026-09-14 19:57:02+00:00,330.0,24.2,24.2,24.85,0.10000038,0.41493934,250,21411,0.30226832992553715,True,REGULAR,USD
AAPL270115C00335000,2026-09-14 19:39:54+00:00,335.0,22.6,21.65,22.15,0.70000076,3.1963506,562,6806,0.29767548034667957,False,REGULAR,USD
AAPL270115C00340000,2026-09-14 19:48:50+00:00,340.0,19.8,19.15,19.45,0.79999924,4.210522,143,9975,0.2909311630249023,False,REGULAR,USD
AAPL270115C00345000,2026-09-14 18:05:03+00:00,345.0,17.0,16.8,17.15,0.26000023,1.5531675,70,6465,0.28711650390624993,False,REGULAR,USD
AAPL270115C00350000,2026-09-14 19:58:50+00:00,350.0,14.93,14.7,15.0,0.07999992,0.53872,695,45365,0.28304244796752925,False,REGULAR,USD
AAPL270115C00355000,2026-09-14 19:59:58+00:00,355.0,12.95,12.8,13.1,0.09999943,0.77820563,104,13191,0.280005979309082,False,REGULAR,USD
AAPL270115C00360000,2026-09-14 19:58:05+00:00,360.0,11.3,11.1,11.4,-0.14999962,-1.3100404,724,14892,0.27744252838134764,False,REGULAR,USD
AAPL270115C00365000,2026-09-14 19:59:32+00:00,365.0,9.75,9.55,9.75,-0.069999695,-0.71282786,144,5139,0.27329217926025384,False,REGULAR,USD
AAPL270115C00370000,2026-09-14 19:47:07+00:00,370.0,8.6,8.2,8.5,0.030000687,0.35006636,505,9705,0.2727733856201171,False,REGULAR,USD
AAPL270115C00375000,2026-09-14 19:56:45+00:00,375.0,7.25,7.0,7.25,0.059999943,0.83449155,94,3279,0.27008786560058595,False,REGULAR,USD
AAPL270115C00380000,2026-09-14 19:57:50+00:00,380.0,6.1,6.0,6.2,-0.05000019,-0.8130112,266,10601,0.2684704501342773,False,REGULAR,USD
AAPL270115C00385000,2026-09-14 19:53:48+00:00,385.0,5.3,5.1,5.3,-0.01999998,-0.3759395,181,1923,0.26737182830810546,False,REGULAR,USD
