grp,h,thr,n_dates,n,ll,ll_clim,lls,bs,bs_clim,bss,ece_up,ece_dn,mp_up,ob_up,mp_dn,ob_dn,floored
INDEX,10,0.03,5193,25965,1.2510381847973988,1.3020655869103073,0.03918957894739561,0.679251434767667,0.7063554321868953,0.038371613190987475,0.021334615810985447,0.025754190556643658,0.18046965366078543,0.19430001925669171,0.13263579942141646,0.12728673213941843,0.0
INDEX,10,0.05,5193,25965,0.9910337896727625,1.052146633640486,0.05808396093638568,0.575055358781188,0.5892082165867804,0.02402012973881862,0.01262568919967209,0.01371325119076055,0.0752982813254262,0.06655112651646447,0.061107069735388424,0.05984979780473715,0.01602156749470441
INDEX,21,0.01,5182,25910,1.0849093277802928,1.0895036332202637,0.004216879411766072,0.598842940706773,0.5985619257789232,-0.00046948346653374884,0.04975603342700404,0.039373604552435715,0.5167059521194776,0.5632960247008877,0.3068337158731676,0.2766885372443072,0.0
INDEX,21,0.02,5182,25910,1.2669011580789145,1.2855034248095007,0.014470802933366778,0.6868531481194473,0.6955316847049593,0.012477557495016778,0.052887934771417115,0.031691561693369494,0.4064175480438252,0.45275955229641063,0.24206639638063485,0.21895021227325356,0.0
INDEX,21,0.03,5182,25910,1.3143653779203528,1.3481709626622889,0.025075146756742717,0.7078732209962435,0.731140105314798,0.03182274388919859,0.04362466065516816,0.02425526721142046,0.3032555533019666,0.3425704361250482,0.18665268869566634,0.17387109224237746,0.0
INDEX,21,0.05,5182,25910,1.1716472271673566,1.2363061923190142,0.052300122375325886,0.6374691261941977,0.6696112715215523,0.04800120113617301,0.01870798466072009,0.021904425864325006,0.1596867625515848,0.16460825935932072,0.1088041020860027,0.10258587417985333,0.00030876109610189115
SINGLES,1,0.01,5201,996785,1.3248853961956446,1.38704950609764,0.044817513454793345,0.7206885217108079,0.7503687104130277,0.03955413957210829,0.014858932753140253,0.006122275944474208,0.2701886264708374,0.2658727809908857,0.24776955519166394,0.25224095466926166,0.00010333221306500399
SINGLES,1,0.02,5201,996785,1.1863370423784338,1.2788874562017662,0.07236791116725994,0.6625607923354657,0.6980563873646985,0.05084918019765672,0.012545129664909177,0.004695320370510863,0.14779502233890693,0.13633832772363147,0.1326198072230865,0.1338824320189409,0.0004955933325641939
SINGLES,1,0.03,5201,996785,1.037835921798608,1.1265120651331773,0.07871743772587636,0.6068193731593361,0.6314259146103474,0.03896979975266923,0.010822173934429845,0.004159839351269958,0.08846402234227257,0.07772388228153514,0.07804727687001162,0.07712696318664507,0.0009761382845849406
SINGLES,1,0.05,5201,996785,0.8698943428521415,0.9289090949696561,0.06353124588519865,0.549676696584707,0.5588385665363936,0.016394484025092804,0.00700423705244402,0.0036719123415214256,0.03910511991107598,0.03219651178539003,0.03329942025932703,0.030370641612785104,0.0021559313191911998
SINGLES,5,0.01,5198,996092,1.2062175651733877,1.2308686751306335,0.02002740865481001,0.6673983238364257,0.6757552070233205,0.012366731473230641,0.02444114667433877,0.012089848560443803,0.4139199910250495,0.41313452974223264,0.34527587197036447,0.3571397019552411,6.625893993727487e-05
SINGLES,5,0.02,5198,996092,1.322599044543849,1.3742057682329776,0.037553854657070174,0.7196426171975958,0.7438903348808829,0.03259582299475605,0.024193870751597193,0.013790752174028628,0.31253973977367056,0.3081361962549644,0.2549635395982173,0.2687542917722459,0.0001355296498716986
SINGLES,5,0.03,5198,996092,1.303076851185068,1.3765779094057928,0.05339404164378303,0.7102647195511821,0.7450887879944209,0.04673814584833025,0.020719007663955562,0.011768384979344846,0.2363695000748232,0.2269268300518426,0.1903615387626388,0.20212992374198369,0.00043971841958373323
SINGLES,5,0.05,5198,996092,1.159670036266459,1.2501004084565164,0.07233848703538204,0.6509979821884475,0.6844065860266328,0.04881397187034853,0.016707743880491836,0.005246505246845553,0.14179687708772978,0.12697421523313107,0.112301873818542,0.11754837906538754,0.0010079390257124845
SINGLES,10,0.01,5193,994937,1.1165142383256554,1.1321637001254985,0.013822613989574406,0.6286243985747627,0.6326014948271202,0.006286890380245436,0.02589870607981525,0.0146887424072057,0.4636932256182056,0.45963412758797795,0.3642578642623623,0.37894660666956803,4.9249349456297235e-05
SINGLES,10,0.02,5193,994937,1.275158574071231,1.3084554666249608,0.02544747865176955,0.698069083474356,0.7114087552898519,0.018751065004901202,0.028775356867899726,0.017680504244333158,0.38296119287890495,0.380681389876947,0.2934879415969613,0.3111684458412945,0.0001035241427346656
SINGLES,10,0.03,5193,994937,1.3252759989970129,1.376455440152199,0.03718205447284728,0.7205942370093131,0.7449550216499358,0.0327010140648063,0.027942871610230506,0.01781279527142958,0.31417136763843456,0.3093411944675894,0.23693398769070773,0.2547467829621373,0.0002331805933441012
SINGLES,10,0.05,5193,994937,1.2745600002175552,1.352251960456051,0.057453760475447146,0.6973212953255431,0.7329195092801285,0.04857042758972241,0.023437064049231363,0.012570204803630641,0.21371618293591152,0.2011484144222197,0.1580868317725546,0.17065703657618522,0.0006844654485660901
SINGLES,21,0.01,5182,992396,1.0178738849601723,1.026233476944628,0.008145896788852025,0.5885358209158612,0.5899048095618317,0.002320694159092085,0.03158027754904352,0.021076342194734657,0.513259296062619,0.5021150830918303,0.3706402709314771,0.3917166131262117,3.0229867915630452e-05
SINGLES,21,0.02,5182,992396,1.1815827643479933,1.199517174385623,0.014951357446645552,0.6556934908959823,0.6605783829759896,0.007394871230875344,0.03431064741463117,0.023968747869770303,0.45510378218784114,0.4474131294362331,0.32057919468541934,0.34454794255518967,7.355934526136743e-05
SINGLES,21,0.03,5182,992396,1.2739269919064904,1.3027906928783541,0.022155286439829447,0.697458954308841,0.708296376437117,0.01530068836832199,0.03595554729667956,0.02485958038271991,0.4006194372078414,0.39431436644242823,0.27692519101901897,0.3017847714017388,0.00010580453770470658
SINGLES,21,0.05,5182,992396,1.3283818993322678,1.3812951045572834,0.03830695196880085,0.7218336347693234,0.7473647728468664,0.034161548690995525,0.034597164307087994,0.021114160990115486,0.3079296648350396,0.29804432907831147,0.207594943036906,0.22870910402702146,0.00035872776593214804
