symbol,n_annual,n_quarter,fy_end,fy_filed,revenue_fy,rev_g_fy,rev_cagr_3y,tag_switches,q_end,revenue_q,rev_g_q_yoy,rev_q_yoy_base,ttm_span_days,revenue_ttm,gross_margin,op_margin,net_margin,ocf_margin,accruals,sbc_pct_rev,rnd_pct_rev,capex_pct_rev,capex_pct_rev_4y_ago,capex_accel,rpo,rpo_g_yoy,rpo_yoy_base,contract_asset_g_yoy,shares,dilution_yoy,net_cash,price,mcap,ev,ev_sales,ev_gp,eps_ttm_gaap,pe_gaap,flags,note,related_party_rev,related_party_pct_rev,related_party_pct_growth
ADBE,19,67,2025-11-28,2026-01-15,23769000000.0,0.10527784236224136,0.10522339932516123,2.0,2026-05-29,6618000000.0,0.12685169419376807,2025-05-30,364.0,23769000000.0,0.8926753334174765,0.36627540073204595,0.2999705498758888,0.4220202785140309,-0.12204972863814212,0.08170305860574698,,0.007530817451302116,0.02510507781438146,-0.017574260363079346,22270000000.0,0.13103098019299142,2025-05-30,-0.2053571428571429,402400000.0,-0.060252218589444184,1531000000.0,265.6000061035156,106877442456.05469,105346442456.05469,4.432094007154474,4.964956285043581,16.97,15.651149446288487,营收标签换过2次(已按阶梯合并),,,,
NOW,16,46,2025-12-31,2026-01-29,13278000000.0,0.20884923525127452,0.22376517864742618,2.0,2026-06-30,3987000000.0,0.2401244167962675,2025-06-30,365.0,13278000000.0,0.7753426720891701,0.13737008585630367,0.13164633227895767,0.4100015062509414,-0.2783551739719837,0.14723602952251846,0.2229251393282121,0.06537129085705679,0.0759144237405107,-0.010543132883453918,29000000000.0,0.21338912133891208,2025-06-30,0.07803992740471877,1031351000.0,-0.004313494925271666,-771000000.0,142.35000610351562,146812821144.86694,147583821144.86694,11.114913476793715,14.335485298190086,3.5100000000000002,40.555557294448896,营收标签换过2次(已按阶梯合并),,,,
CF,19,65,2025-12-31,2026-02-25,7084000000.0,0.19339622641509435,-0.1412477014500929,2.0,2026-06-30,2222000000.0,0.17566137566137563,2025-06-30,365.0,7084000000.0,0.3845285149632976,0.3246753246753247,0.25381140598531904,0.38848108413325805,-0.134669678147939,0.006352343308865048,,0.13410502540937325,0.040497049883783304,0.09360797552558994,1500000000.0,-0.34782608695652173,2025-06-30,,153600000.0,-0.057090239410681365,-2925800000.0,131.24000549316406,20158464843.75,23084264843.75,3.2586483404503106,8.474399722375184,13.270000000000001,9.889977806568504,RPO -35% 而营收 +19% | capex/营收 4年 4%→13% | 营收标签换过2次(已按阶梯合并),,,,
SNOW,8,21,2026-01-31,2026-03-20,4683946000.0,0.29162562500068945,0.313765188615279,1.0,2026-07-31,1546793000.0,0.3509474929015546,2025-07-31,365.0,4683946000.0,0.6716860100436683,-0.3064008423666712,-0.2837425965201136,0.26087875479350103,-0.5446213513136147,0.3414956107521308,0.4204728235551819,0.021697090444680617,0.012164640920887716,0.009532449523792902,9000000000.0,0.30434782608695654,2025-07-31,,349257000.0,0.041889533582924354,2344695000.0,332.3500061035156,116075566081.69556,113730871081.69556,24.280995357695318,36.14932422980901,-3.17,,SBC占营收34% | 股数年增+4.2% | EV/Sales 24x | 净利率-28%,,,,
XYZ,12,35,2025-12-31,2026-02-26,24193683000.0,0.00301106257674566,0.1133377071512014,2.0,2026-06-30,6617687000.0,0.09302733506902428,2025-06-30,365.0,24193683000.0,0.428208016117265,0.07061372177191873,0.05396598773324425,0.10662758539078156,-0.0526615976575373,0.05023956046708556,0.12019207658461922,0.006408201678099196,0.009743270817410882,-0.003335069139311686,,,,,597829000.0,-0.024561008481241098,1828592000.0,79.48999786376953,47521425932.899475,45692833932.899475,1.8886266275746224,4.410535432520771,1.2399999999999998,64.10483698691093,营收标签换过2次(已按阶梯合并),,,,
CRWD,9,26,2026-01-31,2026-03-05,4812005000.0,0.21711245176577232,0.2900686653697968,1.0,2026-07-31,1470897000.0,0.2583040193267132,2025-07-31,365.0,4812005000.0,0.7466899972049074,-0.06095006135696035,-0.03349227608865743,0.3350680225810239,-0.3685602986696814,0.2281103199186202,0.2877740151974073,0.06278214590383842,0.10486133544169378,-0.04207918953785536,10700000000.0,0.48611111111111116,2025-07-31,,1019448000.0,0.01982125457917605,4267631000.0,235.3800048828125,239957675217.77344,235690044217.77344,48.97959254360156,65.59561896764038,-0.09000000000000002,,SBC占营收23% | EV/Sales 49x | 净利率-3%,,10500000.0,0.0021820426204877176,0.0032619547729970722
FTNT,17,49,2025-12-31,2026-02-25,6799600000.0,0.14167702071929877,0.15461947760091377,2.0,2026-06-30,2047900000.0,0.25638036809815956,2025-06-30,365.0,6799600000.0,0.8045620330607682,0.3065915642096594,0.27258113491970115,0.3809929995882111,-0.10841186466850991,0.04148773457262192,0.11993352550150009,0.053650214718512855,0.06365735500520668,-0.010007140286693826,7730000000.0,0.16415662650602414,2025-06-30,,733100000.0,-0.0423252775963423,3671900000.0,170.17999267578125,124758952630.61523,121087052630.61523,17.80796703197471,22.13374022165632,2.73,62.33699365413233,营收标签换过2次(已按阶梯合并),,,,
MSFT,19,70,2026-06-30,2026-07-29,331839000000.0,0.17788686799846665,0.1612397915820203,4.0,2026-03-31,82886000000.0,0.18297034224873698,2025-03-31,365.0,331839000000.0,0.6794409337058032,0.4678081840892722,0.4030538905915218,0.5512763719755664,-0.14822248138404467,0.0373825861336371,0.10716642709265638,0.34941040685392616,0.13263336715192411,0.21677703970200204,684000000000.0,0.8240000000000001,2025-06-30,,7426000000.0,-0.0010761366693570196,101684000000.0,505.4100036621094,3753174687194.824,3651490687194.824,11.003802106427587,16.195377052734678,16.61,30.428055608796473,capex/营收 4年 13%→35% | 营收标签换过4次(已按阶梯合并),,,,
ZS,11,28,2026-07-31,2026-09-03,3352523000.0,0.25416340112565305,0.27514100805675046,1.0,2026-04-30,850475000.0,0.2543250043508143,2025-04-30,365.0,3352523000.0,0.7680466323422688,-0.03975125599436603,-0.018845210010490606,0.3369563758399271,-0.3558015858504177,0.24516550669451037,0.2694683973831052,0.08271501791337449,0.06011124634497499,0.022603771568399496,7365400000.0,0.27426861126970126,2025-07-31,,160741000.0,0.037647909417787284,842454000.0,191.72999572753906,30818871243.240356,29976417243.240356,8.941450138668804,11.641806320275847,-0.4,,SBC占营收25% | 股数年增+3.8% | 净利率-2%,,,,
TEAM,6,15,2026-06-30,2026-08-14,6572308000.0,0.2601965292914852,0.22967578218768092,1.0,2026-03-31,1786971000.0,0.31712974565052665,2025-03-31,365.0,6572308000.0,0.8483287758273045,0.0015755500198712537,-0.008190121339413796,0.20588429513650303,-0.21407441647591682,0.24444396093427148,0.4974290614499503,0.005182349944646538,0.007302567979206976,-0.002120218034560438,4800000000.0,0.4545454545454546,2025-06-30,15.212121212121211,260965000.0,-0.006494816709876616,249952000.0,192.77000427246094,50306224164.96277,50056272164.96277,7.616239556174599,8.977933760112185,-1.01,,SBC占营收24% | contract asset 增速远超营收 | 净利率-1%,,,,
AES,17,54,2025-12-31,2026-03-02,12233000000.0,-0.003665092034533357,-0.010249740650209005,1.0,2026-06-30,3422000000.0,0.1985989492119089,2025-06-30,365.0,12233000000.0,0.1807406196354124,,0.013242867653069566,0.35199869206245404,-0.33875582440938445,0.001144445352734407,,0.48467260688302133,0.36070381231671556,0.12396879456630577,258000000.0,35.857142857142854,2025-06-30,,713000000.0,0.001404494382022392,1853000000.0,14.800000190734863,10552400135.993958,8699400135.993958,0.7111420040868108,3.934599790137475,2.02,7.326732767690526,capex/营收 4年 36%→48%,,,,
OKTA,10,27,2026-01-31,2026-03-05,2919000000.0,0.11839080459770113,0.16250847699726267,1.0,2026-07-31,805000000.0,0.10576923076923084,2025-07-31,365.0,2919000000.0,0.7735525865022268,0.05104487838300788,0.08050702295306612,0.302843439534087,-0.2223364165810209,0.18636519355943817,0.21891058581706063,0.003083247687564234,0.006458557588805167,-0.003375309901240933,4858000000.0,0.1700385356454721,2025-07-31,-0.33333333333333337,174298000.0,-0.006622592043770692,2299000000.0,186.4499969482422,32497861568.084717,30198861568.084717,10.34561889965218,13.37416367054239,1.6800000000000002,110.98214104062033,SBC占营收19%,,,,
