strat,label,n,mean,median,win%,avg_win,avg_loss,pf,avg_hold,cagr,vol,sharpe,maxdd,mar,tim,train_cagr,train_sharpe,test_cagr,test_sharpe,test_maxdd,test_mar,family
chandelier,Chandelier 2.5xATR22 trail (standalone),135573,-7.504192988393536e-05,-0.021483072850980944,36.74551717524876,0.09632480081036475,-0.05607521644584747,0.9978843602092395,13.916598437742028,0.005171162212566305,0.1750942698627718,0.1170032219297986,-0.4191456229267236,0.012337388081159431,0.9992841803865425,-0.034934713300942444,-0.09179495153361958,0.05810841355061158,0.4439318375331672,-0.2143393447619163,0.27110474567866766,chandelier
chandelier,Chandelier 3.0xATR22 trail (standalone),135573,0.0003194652623470239,-0.025190531561101404,37.00515589387267,0.11393922167478446,-0.06642435890813181,1.0076346874789965,19.117700427076187,0.02832892975003576,0.174984303748893,0.24716290697323037,-0.37988960443520065,0.07457147923843213,0.9992841803865425,-0.01355576290060112,0.023883658292834828,0.08366835808304329,0.6027573297721064,-0.1996404759615526,0.4190951643451121,chandelier
chandelier,Chandelier 4.0xATR22 trail (standalone),135573,0.003715180633740301,-0.03133133854218162,37.477226291370705,0.15273470876320575,-0.08560968847024264,1.069409478448262,32.051227014228495,0.07549706112098153,0.17686950703368798,0.5000178909658084,-0.32340729502992377,0.23344266589285206,0.9992841803865425,0.02919483007890622,0.24523228824055154,0.13684113702150502,0.9174437507837016,-0.2021538201285796,0.6769159095507937,chandelier
wide_atr_trail,"Wide ATR 5.0x trail, no target",135573,0.006569595702484274,-0.03722498786769868,37.79882424966623,0.1885202323131126,-0.10399937751058431,1.1015568705652676,46.831699527191994,0.09062085292176314,0.17703023088305395,0.5786250519250681,-0.30134009378189974,0.3007261721613175,0.9992841803865425,0.045787208968852466,0.3277287482295127,0.14988294118626544,0.9891380853345666,-0.2128310502634926,0.7042343727604825,wide_atr_trail
wide_atr_trail,"Wide ATR 6.0x trail, no target",135573,0.01175544209522653,-0.040974736773393916,38.93769408363022,0.22033615206411092,-0.12125053851150229,1.158774988439973,61.74633592234442,0.09919628713215567,0.1773438960476148,0.6220962627614266,-0.2851632440374669,0.3478578996636836,0.9992841803865425,0.05740206242999535,0.38424118857030237,0.15424019887827045,1.0131410251487507,-0.20928353313887715,0.7369915662495967,wide_atr_trail
ma_trail,MA trail: close<EMA20,135573,-0.00033943929854916404,-0.011339759506439062,28.65614834812241,0.06729361466874001,-0.027505099447936433,0.9827021411164742,6.850759369490976,-0.041617087770336014,0.17741417690402214,-0.1506943192018682,-0.5108839005796125,-0.08146094978354226,0.9992841803865425,-0.06553513915557863,-0.25350389160375264,-0.01059382984295043,0.00890374697968142,-0.2575965099422292,-0.04112567303542386,ma_trail
ma_trail,MA trail: close<SMA50,135573,-7.20679309447158e-05,-0.010733533459800326,33.88801605039352,0.07141498104765392,-0.03671526207602736,0.9970309655889565,11.721412080576515,0.026161909939517614,0.17526295369517136,0.2351508066284801,-0.3708747375315878,0.07054109458530962,0.9992841803865425,-0.008265516523341176,0.05046328860048961,0.07126610391639687,0.5174528268750346,-0.23103955322609843,0.30845845623089,ma_trail
ma_trail,MA trail: close<SMA100,135573,0.0027785417729113138,-0.011086800244004658,35.45027402211355,0.09263125220793808,-0.046567960606394614,1.0924347579988674,20.307502231270238,0.04864441261663921,0.16982670141729853,0.3648560137743513,-0.3338562294944159,0.145704672608042,0.9992841803865425,0.005222934866743412,0.11905287346846807,0.10606013246247503,0.7235489623060782,-0.22877258481351315,0.4636050799047066,ma_trail
r_target,R-target 2.0R (2.5ATR stop) + signal,135573,0.0013589492251404158,-0.009606367833185248,44.88578109210536,0.08024485859652773,-0.06288682490463786,1.0392084708847495,13.858998473147308,0.05284839739642111,0.1647950293579948,0.39493437689759214,-0.3589179683890624,0.14724366582598655,0.9992841803865425,-0.003423584228966603,0.07005126179433202,0.1283291000092901,0.9025485824881379,-0.16537652158169674,0.7759813713695444,r_target
r_target,R-target 3.0R (2.5ATR stop) + signal,135573,0.0017464967130679917,-0.010090891271625657,44.59811319363,0.0818930730553819,-0.06277091036169337,1.0502209345067266,14.948905755570799,0.05023897797502741,0.16143406270960345,0.3844198863513343,-0.34835439979597854,0.1442180090288826,0.9992841803865425,0.004660007042528447,0.11450687693920215,0.11064962045417626,0.8180840661378708,-0.19649341351155614,0.5631212694448343,r_target
