date,symbol,side,state,sector,signal_type,score,d0_close,fwd_d1,fwd_d3,fwd_d5,fwd_d10,fwd_d14,fwd_last,days,rank120,RSI,L2_trend,L2_pump,H4_RSI,H4_FJ
2026-05-18,NXT,SELL,,10 太阳能,SHORT_A_D1FJ_weak_H4_1birth,,134.48,-0.054729,-0.100089,,,,-0.032421,4,,,,,,
2026-05-18,ON,SELL,,99 未分组,SHORT_A_D1FJ_weak_H4_1birth,,109.43,-0.031162,0.001645,,,,0.065704,4,,,,,,
2026-05-18,ORCL,SELL,,98 数据中心,Gann_SELL_1_confirmed + SHORT_A_D1FJ_weak_H4_1birth,,186.61,-0.027598,0.016934,,,,0.029768,4,,,,,,
2026-05-18,PLUG,SELL,,99 未分组,Gann_SELL_1_confirmed + SHORT_A_D1FJ_weak_H4_1birth,,3.45,-0.04058,0.095652,,,,0.119333,4,,,,,,
2026-05-18,SONO,SELL,,99 未分组,SHORT_A_D1FJ_weak_H4_1birth,,14.76,-0.000678,-0.00271,,,,0.029133,4,,,,,,
2026-05-18,TSEM,SELL,,05 AI网络 / 光模块,SHORT_A_D1FJ_weak_H4_1birth,,248.07,0.01294,0.124723,,,,0.15286,4,,,,,,
2026-05-18,TXN,SELL,,99 未分组,SHORT_A_D1FJ_weak_H4_1birth,,300.6,0.005689,-0.007352,,,,-0.007352,3,,,,,,
2026-05-18,UNH,SELL,,99 未分组,SHORT_A_D1FJ_weak_H4_1birth,,391.13,-0.004832,-0.022115,,,,-0.005944,4,,,,,,
2026-05-18,VRT,SELL,,06 服务器 / 数据中心硬件,Gann_SELL_1_confirmed + SHORT_A_D1FJ_weak_H4_1birth,,339.73,-0.050334,-0.048068,,,,-0.033586,4,,,,,,
2026-05-19,AXTI,BUY,,05 AI网络 / 光模块,Gann_BUY_A_new_zero,,112.88,-0.073264,0.145819,,,,0.145819,3,,,,,,
2026-05-19,BKNG,BUY,,99 未分组,BUY_B_D1FJ_low_H4_0birth,,154.54,0.015595,0.041025,,,,0.041025,3,,,,,,
2026-05-19,CI,BUY,,99 未分组,Gann_BUY_A_new_zero,,291.28,-0.028083,-0.021663,,,,-0.021663,3,,,,,,
2026-05-19,DHR,BUY,,99 未分组,BUY_B_D1FJ_low_H4_0birth + Gann_BUY_A_new_zero,,167.04,0.024425,0.03586,,,,0.03586,3,,,,,,
2026-05-19,DUK,BUY,,15 公用事业,BUY_B_D1FJ_low_H4_0birth + Gann_BUY_A_new_zero,,124.56,-0.006021,0.007547,,,,0.007547,3,,,,,,
2026-05-19,GILD,BUY,,99 未分组,BUY_B_D1FJ_low_H4_0birth,,130.5,0.001456,0.021992,,,,0.021992,3,,,,,,
2026-05-19,MELI,BUY,,99 未分组,BUY_B_D1FJ_low_H4_0birth,,1594.86,0.035326,0.036292,,,,0.036292,3,,,,,,
2026-05-19,MRVL,BUY,,03 GPU / AI芯片,Gann_BUY_A_new_zero,,176.27,0.059738,0.118338,,,,0.118338,3,,,,,,
2026-05-19,T,BUY,,99 未分组,BUY_B_D1FJ_low_H4_0birth + Gann_BUY_A_new_zero,,24.98,-0.002002,0.013411,,,,0.013411,3,,,,,,
2026-05-19,TMO,BUY,,99 未分组,BUY_B_D1FJ_low_H4_0birth,,447.81,0.008888,-0.001719,,,,-0.001719,3,,,,,,
2026-05-19,VZ,BUY,,99 未分组,BUY_B_D1FJ_low_H4_0birth + Gann_BUY_A_new_zero,,47.74,0.001676,0.014767,,,,0.014767,3,,,,,,
2026-05-19,ADI,SELL,,99 未分组,Gann_SELL_1_confirmed,,414.31,-0.039246,-0.043772,,,,-0.043772,3,,,,,,
2026-05-19,AMD,SELL,,03 GPU / AI芯片,Gann_SELL_1_confirmed,,414.05,0.080981,,,,,0.085835,2,,,,,,
2026-05-19,APP,SELL,,99 未分组,Gann_SELL_1_confirmed + SHORT_A_D1FJ_weak_H4_1birth,,476.9,0.011281,0.020759,,,,0.020759,3,,,,,,
2026-05-19,CVS,SELL,,99 未分组,SHORT_A_D1FJ_weak_H4_1birth,,94.18,-0.009556,-0.005203,,,,-0.005203,3,,,,,,
2026-05-19,DASH,SELL,,99 未分组,SHORT_A_D1FJ_weak_H4_1birth,,154.65,0.039315,0.051342,,,,0.051342,3,,,,,,
2026-05-19,ENPH,SELL,,10 太阳能,SHORT_A_D1FJ_weak_H4_1birth,,46.76,0.136655,0.367836,,,,0.367836,3,,,,,,
2026-05-19,GS,SELL,,99 未分组,Gann_SELL_1_confirmed,,928.74,0.057476,0.077567,,,,0.077567,3,,,,,,
2026-05-19,MSFT,SELL,,98 超巨,SHORT_A_D1FJ_weak_H4_1birth,,417.42,0.00872,0.00418,,,,0.00418,3,,,,,,
2026-05-19,NDX,SELL,,99 未分组,Gann_SELL_1_confirmed,,28818.8398,0.016616,,,,,0.018683,2,,,,,,
2026-05-19,NKE,SELL,,99 未分组,SHORT_A_D1FJ_weak_H4_1birth,,42.42,0.041726,0.046794,,,,0.046794,3,,,,,,
2026-05-19,POET,SELL,,05 AI网络 / 光模块,Gann_SELL_1_confirmed,,13.07,0.130834,0.152938,,,,0.152938,3,,,,,,
2026-05-19,SBUX,SELL,,99 未分组,SHORT_A_D1FJ_weak_H4_1birth,,106.38,0.001128,-0.035157,,,,-0.035157,3,,,,,,
2026-05-19,SHOP,SELL,,99 未分组,SHORT_A_D1FJ_weak_H4_1birth,,101.01,0.0396,0.041234,,,,0.041234,3,,,,,,
2026-05-19,SPX,SELL,,99 未分组,Gann_SELL_1_confirmed,,7353.6099,0.010792,,,,,0.012526,2,,,,,,
2026-05-19,SPY,SELL,,01 市场环境,Gann_SELL_1_confirmed,,733.73,0.010249,0.018058,,,,0.018058,3,,,,,,
2026-05-19,TEAM,SELL,,98 AI软件 / SAAS,SHORT_A_D1FJ_weak_H4_1birth,,86.62,-0.004502,-0.006407,,,,-0.006407,3,,,,,,
2026-05-19,TTD,SELL,,99 未分组,SHORT_A_D1FJ_weak_H4_1birth,,21.16,-0.006616,0.056002,,,,0.056002,3,,,,,,
2026-05-20,AMAT,BUY,,04 半导体设备 / EDA,BUY_B_D1FJ_low_H4_0birth + Gann_BUY_A_new_zero,,426.85,0.001195,,,,,0.021115,2,0.9141541346321257,56.26062526967981,87.94005052497964,2.23135413465975e-38,53.5614438869675,55.32697987578522
2026-05-20,AMD,BUY,,03 GPU / AI芯片,Gann_BUY_A_new_zero,,447.58,0.004491,,,,,0.042696,2,0.9581465744948645,69.59355111202223,106.9819228209083,5.210708708572722e-17,63.48019200381132,65.38392923527343
2026-05-20,AMZN,BUY,,98 超巨,BUY_B_D1FJ_low_H4_0birth,,265.01,0.013018,,,,,0.010301,2,0.869029122461399,57.71976624968404,60.86774593764002,1.759006260597191e-19,50.67755343126243,53.16035689110227
2026-05-20,BE,BUY,,09 储能,BUY_B_D1FJ_low_H4_0birth + Gann_BUY_A_new_zero,,282.31,0.090574,,,,,0.084588,2,0.906818557339596,59.30980475936695,83.38003971103144,4.764123731927902e-11,54.08661643246918,56.71960280893815
2026-05-20,CDNS,BUY,,04 半导体设备 / EDA,BUY_B_D1FJ_low_H4_0birth + Gann_BUY_A_new_zero,,350.89,0.021574,,,,,0.080595,2,0.8649279845299986,59.36668258428302,74.48684790377081,5.509368380698862e-09,54.7248587162298,57.24796404848281
2026-05-20,CEG,BUY,,08 核能,BUY_B_D1FJ_low_H4_0birth + Gann_BUY_A_new_zero,,281.26,0.016248,,,,,0.053634,2,0.2599970350112277,45.39414926219706,0.0,1.107204807587796,47.23797717843185,63.97369823567652
2026-05-20,CRDO,BUY,,05 AI网络 / 光模块,BUY_B_D1FJ_low_H4_0birth + Gann_BUY_A_new_zero,,182.98,0.056891,,,,,0.157558,2,0.7774691227985324,54.3573221936951,57.76351676946233,3.56020251149591e-11,52.23384691366298,59.37593217546787
2026-05-20,DELL,BUY,,06 服务器 / 数据中心硬件,Gann_BUY_A_new_zero,,242.93,0.040629,,,,,0.215597,2,0.882656136647831,62.01817731456433,85.16395567025782,5.139401646022569e-25,56.92152325258312,55.00391189051032
