# 2026-09-04 隔夜持仓候选（当天 2 次扫描的日内演化）
# 扫描时刻（本地）：10:15:30 → 14:22:55   定版基准=最后一次
# 隔夜分 = 持续性30 + 规则等级25 + 日内演化20 + 收盘走强15 + 量能确认10 − 过热扣分
# ⚠️ 启发式加权，未经回测。只是把“早盘→收盘前的演化”量化排序，不是已验证 edge。
# ⚠️ 最后一次扫描时日线仍未收盘（约走完 90% 时段）：收盘走强只测到该时刻，量比已按时段外推。越贴近 16:00 ET 再跑，定版越准。

# —— A. 隔夜首选（隔夜分 ≥ 65，取前 12） ——
# 早盘就在、收盘前仍在、且买盘没有在下午撤退的票。
# TV代码 | 隔夜分 | 出现次数 | 规则(收盘前) | 日内变化 | 日内涨跌 | 观海买点分Δ | 量比(外推) | RSI | 段涨幅 | 板块
NASDAQ:LWLG | 40 | 1/2 | 预警买入 | 收盘前新增 | - | - | 0.8x | 38 | - | 05 AI网络 / 光模块
NASDAQ:RKLB | 40 | 1/2 | 预警买入 | 收盘前新增 | - | - | 0.8x | 37 | - | 17 商业航天
NASDAQ:AMZN | 35 | 1/2 | 预警买入 | 收盘前新增 | - | - | 0.7x | 49 | - | 02 超巨
NYSE:IBM | 35 | 1/2 | 二进宫买入点 | 收盘前新增 | - | - | 0.4x | 50 | 4.0% | 06 服务器 / 数据中心硬件
AMEX:MEME | 34 | 1/2 | 第一观察点 | 收盘前新增 | - | - | 1.3x | 52 | 10.5% | 22 MEME股

# —— C. 出局：收盘前同时带卖出信号 ——
# 同一票同时挂买和卖，隔夜方向矛盾 → 不参与隔夜。
# TV代码 | 隔夜分 | 出现次数 | 规则(收盘前) | 日内变化 | 日内涨跌 | 观海买点分Δ | 量比(外推) | RSI | 段涨幅 | 板块
NASDAQ:RUN | 32 | 1/2 | 预警买入 | 收盘前新增 | - | - | 0.6x | 41 | - | 10 太阳能

# —— D. 日内消失（早盘有买入信号，收盘前那次已无）——
# 单看收盘那一次扫描是看不见这批的。盘中信号没撑到收盘 → 不建议隔夜。
# TV代码 | 早盘规则 | 早盘观海买点分 | 最后出现时刻 | 板块
AMEX:UUUU | 预警买入 | 93 | 10:15:30 | 08 核能
NYSE:ANET | 正式买入 | 88 | 10:15:30 | 05 AI网络 / 光模块
NYSE:NEE | 第一观察点 | 80 | 10:15:30 | 15 公用事业

# —— E. 日内降级（等级掉了，仍在场）——
NASDAQ:ASML | 正式买入 → 预警/二进宫 | -0.78% | 04 半导体设备 / EDA
NASDAQ:TER | 正式买入 → 预警/二进宫 | -0.79% | 19 COWOS
NYSE:COHR | 正式买入 → 预警/二进宫 | -1.47% | 05 AI网络 / 光模块
