symbol,group,signal,date,fwd_ret,bench_ret,excess_ret,period
BHP,13 材料 / 电网,正式买入,2023-07-31,-0.10933762365494626,-0.04650605768481453,-0.06283156597013173,test
BHP,13 材料 / 电网,正式买入,2023-08-29,0.009600265810285169,-0.01436016598638068,0.02396043179666585,test
BHP,13 材料 / 电网,正式买入,2023-09-28,-0.0008741125243645342,0.003943812388533141,-0.004817924912897675,test
BHP,13 材料 / 电网,正式买入,2023-10-25,0.07023122437852147,0.07467374950282402,-0.004442525124302543,test
BHP,13 材料 / 电网,正式买入,2023-12-01,0.07705755314014628,0.029623188679394508,0.04743436446075178,test
BHP,13 材料 / 电网,正式买入,2024-01-24,-0.052115135261302736,0.017903071059511166,-0.0700182063208139,test
BHP,13 材料 / 电网,正式买入,2024-02-16,-0.0503811883964167,0.02444393749147733,-0.07482512588789403,test
BHP,13 材料 / 电网,正式买入,2024-03-19,0.06797320498421455,0.007000029469572455,0.0609731755146421,test
BHP,13 材料 / 电网,正式买入,2024-04-15,-0.047409464724869954,0.01355931444617231,-0.060968779171042264,test
BHP,13 材料 / 电网,正式买入,2024-05-06,0.04871615244512295,0.02491432900615509,0.023801823438967862,test
BHP,13 材料 / 电网,正式买入,2024-05-24,-0.04695621644987247,0.025196484576068823,-0.07215270102594129,test
BHP,13 材料 / 电网,正式买入,2024-06-26,-0.0059305798313042946,0.020952855990107544,-0.02688343582141184,test
BHP,13 材料 / 电网,正式买入,2024-07-31,-0.034035646158758426,0.014324385329621991,-0.04836003148838042,test
BHP,13 材料 / 电网,正式买入,2024-08-29,0.0010882923531894129,0.022620230026084265,-0.021531937672894852,test
BHP,13 材料 / 电网,正式买入,2024-09-19,0.05417651300719184,0.010788529178606954,0.043387983828584886,test
BHP,13 材料 / 电网,正式买入,2024-10-14,-0.05872457783182694,-0.022727322580803566,-0.035997255251023375,test
BHP,13 材料 / 电网,正式买入,2024-11-05,-0.07445309100179687,0.03611932833177378,-0.11057241933357065,test
BHP,13 材料 / 电网,正式买入,2024-11-29,-0.07046539015476294,-0.027300659763158652,-0.04316473039160429,test
BHP,13 材料 / 电网,正式买入,2025-01-13,-0.01034479370031749,0.02817386688816348,-0.03851866058848097,test
BHP,13 材料 / 电网,正式买入,2025-02-04,0.01745933975347702,-0.012529560130650763,0.029988899884127784,test
BHP,13 材料 / 电网,正式买入,2025-03-05,-0.02090312714910536,-0.013034637289061735,-0.007868489860043626,test
BHP,13 材料 / 电网,正式买入,2025-03-25,-0.0676737262253706,-0.06314952467227253,-0.004524201553098073,test
BHP,13 材料 / 电网,正式买入,2025-05-01,0.034164768379669086,0.04367292052915572,-0.009508152149486637,test
BHP,13 材料 / 电网,正式买入,2025-05-23,-0.02685909338507475,0.030892257258484213,-0.05775135064355896,test
BHP,13 材料 / 电网,正式买入,2025-06-26,0.06930075431416305,0.026427154524972796,0.04287359978919025,test
BHP,13 材料 / 电网,正式买入,2025-08-07,0.07215502355581016,0.022744175378113907,0.049410848177696254,test
BHP,13 材料 / 电网,正式买入,2025-09-15,0.01222631374033778,0.012558516538393905,-0.00033220279805612485,test
BHP,13 材料 / 电网,正式买入,2025-10-08,0.0190866869178139,0.02072471440123591,-0.001638027483422011,test
BHP,13 材料 / 电网,正式买入,2025-11-10,-0.012352352915627862,-0.001716927251063205,-0.010635425664564657,test
BHP,13 材料 / 电网,正式买入,2025-12-17,0.06604575065652529,0.026973465434957822,0.03907228522156747,test
BHP,13 材料 / 电网,正式买入,2026-01-12,0.10493630943706922,0.0003596294517205223,0.1045766799853487,test
BHP,13 材料 / 电网,正式买入,2026-02-09,0.15822525822525813,-0.010908577262133345,0.16913383548739147,test
BHP,13 材料 / 电网,正式买入,2026-03-25,0.13512353657788378,0.06564963709441729,0.0694738994834665,test
BHP,13 材料 / 电网,正式买入,2026-04-22,0.09632574939673222,0.03792124670616914,0.058404502690563076,test
BHP,13 材料 / 电网,正式买入,2026-05-21,0.036025399936909785,-0.006678103636831634,0.04270350357374142,test
BHP,13 材料 / 电网,正式买入,2026-06-11,-0.05306816101074219,0.009515315872813623,-0.06258347688355581,test
BHP,13 材料 / 电网,正式买入,2026-07-06,0.0009565020521100642,-0.016438659540374267,0.01739516159248433,test
BHP,13 材料 / 电网,正式买入,2026-07-30,0.07438881578742862,0.03690220311328751,0.03748661267414111,test
BHP,13 材料 / 电网,回调买入点,2018-02-13,-0.022413095041884934,0.025864680010573293,-0.04827777505245823,train
BHP,13 材料 / 电网,回调买入点,2018-06-05,-0.05775323167086077,-0.014903693248094152,-0.04284953842276662,train
BHP,13 材料 / 电网,回调买入点,2019-01-29,0.08328245223998132,0.05481949144167375,0.02846296079830757,train
BHP,13 材料 / 电网,回调买入点,2020-09-15,-0.058303311280668124,-0.001205290431034678,-0.057098020849633446,train
BHP,13 材料 / 电网,回调买入点,2021-06-01,-0.07693311769992628,0.0028354942830173258,-0.0797686119829436,train
BHP,13 材料 / 电网,回调买入点,2021-07-23,0.004710113506215752,0.011751563580183477,-0.0070414500739677255,train
BHP,13 材料 / 电网,回调买入点,2023-03-02,-0.1150592695145436,-0.014328479027708951,-0.10073079048683464,test
BHP,13 材料 / 电网,回调买入点,2023-04-18,-0.039147586455734906,-0.00354892747888369,-0.035598658976851216,test
BHP,13 材料 / 电网,回调买入点,2023-07-12,0.004118616093208294,0.02345191298665239,-0.019333296893444096,test
BHP,13 材料 / 电网,回调买入点,2025-08-11,0.046145170157604776,0.014357159907180339,0.03178801025042444,test
BHP,13 材料 / 电网,回调买入点,2025-09-25,0.017956545603511564,0.010819839296809741,0.007136706306701823,test
BHP,13 材料 / 电网,回调买入点,2026-07-22,0.06482133508627119,0.030973662709723904,0.03384767237654729,test
